ಅಂಕದ ಪರದೆ ಏಳು	ಪ್ರಾರಂಭವಾಗು, ಆರಂಭವಾಗು
ಅಂಕಿತ ಹಾಕು	ಸಹಿ ಮಾಡು, ರುಜು ಮಾಡು
ಅಂಕದ ಪರದೆ ಬೀಳು	ಮುಗಿ ಕೊನೆಗೊಳ್ಳು
ಅಂಕುರಾರ್ಪಣ ಮಾಡು	ಪ್ರಾರಂಭಿಸು, ಮೊದಲು ಮಾಡು
ಅಂಕುಶ ಹಾಕು	ಅಡ್ಡಿ ಮಾಡು, ತಡೆಯೊಡ್ಡು
ಅಂಗಡಿ ಇಡು	ತೋರಿಸು, ಪ್ರದರ್ಶಿಸು
ಅಂಗೈ ನೆಲ್ಲಿ	ಕರತಲಾಮಲಕ, ಸ್ಪಷ್ಟ
ಅಂಗೈಯಲ್ಲಿ ಆಕಾಶ ತೋರಿಸು	ತೋರಿಕೆ ಮಾಡು, ಸುಳ್ಳು ಹೇಳು
ಅಂಗೈಯಲ್ಲಿ ಇಟ್ಟುಕೋ	ಜೋಪಾನವಾಗಿ ನೋಡಿಕೋ, ಕಾಪಾಡು
ಅಂಗೈಯಲ್ಲಿ ಜೀವ ಹಿಡಿದುಕೊಳ್ಳು	ಬಹಳ ಭಯದಿಂದಿರು, ಎಚ್ಚರದಿಂದಿರು
ಅಂಗೈ ಮುಂಗೈ ಮಾಡು	ವಂಚಿಸು, ಮೋಸ ಮಾಡು
ಅಂಡಿಗೆ ನೀರು ಬಿಡು	ಮಾಡಿದ ಉಪಕಾರವನ್ನು ಮರೆಯುವುದು
ಅಂತರಂಗವನ್ನು ಚುಚ್ಚು	ಮನಸ್ಸಿಗೆ ನೋವುಂಟು ಮಾಡು, ಬೇಸರಪಡಿಸು
ಅಂತರ ಪಿಶಾಚಿ	ನೆಲೆಯಿಲ್ಲದೆ ಅಲೆದಾಡು
ಅಂತರ್ಲಾಗ ಹಾಕು	ಬಹಳ ಪ್ರಯತ್ನಿಸು
ಅಕ್ಕಿಕಾಳಿಗೆ ಹೋಗು	ವಿವಾಹದ ಸಮಯಕ್ಕೆ ಮಾತ್ರ ಹೋಗುವುದು
ಅಕ್ಷತೆ ಕೊಟ್ಟು ಹೇಳು	ವಿಶೇಷ ರೀತಿಯಿಂದ ಕರೆಯುವುದು
ಅಕ್ಷತೆ ಬೀಳು	ವಿವಾಹವಾಗು, ಮದುವೆಯಾಗು
ಅಕ್ಷಯ ಪಾತ್ರೆ	ಸಮೃದ್ಧವಾಗುವುದು
ಅಗ್ನಿಪರೀಕ್ಷೆ	ಕಠಿಣವಾದ ಸಂದರ್ಭ
ಅಗ್ರತಾಂಬೂಲ	ವಿಶೇಷ ಗೌರವ, ವಿಶೇಷ ಮನ್ನಣೆ
ಅಗ್ರಪೀಠ	ಪ್ರಮುಖ ಸ್ಥಾನ, ಬಹಳ ಮರ್ಯಾದೆ
ಅಗ್ರವೀಳ್ಯ	ವಿಶೇಷ ಆಹ್ವಾನವನ್ನು ನೀಡು
ಅಜಗಜಾಂತರ	ಬಹಳ ವ್ಯತ್ಯಾಸ, ತುಂಬಾ ಅಂತರ
ಅಜ್ಜಮ್ಮನ ಕತೆ	ಕಟ್ಟುಕತೆ, ನಂಬಲಸಾಧ್ಯವಾದ ಸಂಗತಿ
ಅಜ್ಜಿಗೆ ಕೆಮ್ಮು ಕಲಿಸು	ಹಿರಿಯರಿಗೆ ಬುದ್ದಿ ಹೇಳು, ಅನುಭವಿಗೆ ವಿವರಿಸ
ಅಜ್ಜಿ ಪುರಾಣ	ಕಟ್ಟುಕಥೆ, ಪ್ರಸ್ತುತ ಸನ್ನಿವೇಶಕ್ಕೆ ಪೂರಕವಲ್ಲದ
ಅಟ್ಟಕ್ಕೇರಿಸು	ಬಹಳ ಹೊಗಳು, ಉಬ್ಬಿಸು
ಅಟ್ಟವನ್ನು ಬೆಟ್ಟ ಮಾಡು	ಉತ್ತೇಕ್ಷಿಸು, ಸಣ್ಣದನ್ನು ದೊಡ್ಡದನ್ನಾಗಿ ಮಾಡು
ಅಡವಿ ಪಾಲಾಗು	ಹಾಳಾಗು, ನಾಶವಾಗು
ಅಡಾವುಡಿ ಮನುಷ್ಯ	ಯಾವ ಕೆಲಸಕ್ಕೂ ಬಾರದವ
ಅಡಗೂಲಜ್ಜಿಯ ಕಥೆ	ಪ್ರಯೋಜನಕ್ಕೆ ಬಾರದ ವಿಷಯ
ಅಡುಗೆ ಮನೆಯ ಜಗಳ	ಸ್ತ್ರೀಯರ ಜಗಳ, ಅತೆತಿ ಸೊಸೆ ಗಲಾಟೆ
ಅಡ್ಡಕಸಬಿ	ಅನನುಭವಿ, ಕೆಲಸಕ್ಕೆ ಬಾರದವ
ಅಡ್ಡಗಾಲು ಹಾಕು	ತಡೆಯುಂಟುಮಾಡು, ಅಡ್ಡಿ ಮಾಡು
ಅಡ್ಡಗೋಡೆಯ ಮಾತು	ಸಂದಿಗ್ಧವಾದ ಹೇಳಿಕೆ, ಖಚಿತವಿಲ್ಲದ ನುಡಿ
ಅಡ್ಡಗೋಡೆಯ ಮೇಲಿನ ದೀಪ	ಖಚಿತವಲ್ಲದ, ನಿರ್ಧರಿತವಲ್ಲದ
ಅಡ್ಡದಾರಿ ಹಿಡಿ	ತಪ್ಪು ದಾರಿಯಲ್ಲಿ ನಡೆ, ಕೆಟ್ಟ ಮಾರ್ಗಕ್ಕೆ ಬೀಳು
ಅಡ್ಡಬಾಯಿ ಹಾಕು	ಮಾತಿನ ಮಧ್ಯೆ ಪ್ರವೇಶಿಸು
ಅತ್ತ ಕೆರೆ ಇತ್ತ ಬಾವಿ	ಇಕ್ಕಟ್ಟಿನ ಸ್ಥಿತಿ, ಕಷ್ಟಕರ ಸ್ಥಿತಿ
ಅನ್ನ ಕಿತ್ತುಕೊಳ್ಳು	ಜೀವನ ಮಾರ್ಗವನ್ನು ಹಾಳುಮಾಡು
ಅನ್ನಕ್ಕೆ ಕಲ್ಲು ಹಾಕು	ಜೀವನ ಮಾರ್ಗವನ್ನು ಕೆಡಿಸು
ಅನ್ನದ ಋಣ	ಆಯಸ್ಸು ಜೀವನ ಕಾಲ
ಅಪಾಯದ ಗಂಟೆ	ಅಪಾಯದ ಸೂಚನೆ
ಅಪ್ಪನೆಟ್ಟ ಆಲದ ಮರ	ಹಳೆಯ ಸಂಪ್ರದಾಯ
ಅಬ್ಬೇಪಾರಿ	ಜವಾಬ್ದಾರಿಯಿಲ್ಲದವನು
ಅಮ್ಮಾವ್ರ ಗಂಡ	ಹೆಂಡತಿ ಹೇಳಿದ ಹಾಗೆ ಕೇಳುವವನು
ಅರಣ್ಯರೋಧನ	ವ್ಯರ್ಥ ಆಲಾಪ
ಅರಿಷಿಣ ಕಾಮಾಲೆ	ಎಲ್ಲದರಲ್ಲೂ ಅಪನಂಬಿಕೆ
ಅರ್ಧ ಜೀವವಾಗು	ಜರ್ಝರಿತವಾಗು, ಬಹಳ ತೊಂದರೆಗೊಳಗಾಗು
ಅವತಾರ ಮುಗಿ	ಶಕ್ತಿ ಕುಗ್ಗಿಹೋಗುವುದು
ಅಳತೆ ಮಾಡು	ಪರೀಕ್ಷಿಸು, ವಿಚಾರಿಸು
ಅಳಲೆಕಾಯಿ ಪಂಡಿತ	ಹಳೆಯ ಕಾಲದ ವೈದ್ಯ, ನಾಟೀವೈದ್ಯ
ಅಳಿಲು ಸೇವೆ ಮಾಡು	ಅಲ್ಪಸೇವೆಯನ್ನು ಮಾಡು
ಆಕಾಶ ಕಳಚಿ ಬೀಳು	ದೊಡ್ಡ ಆಘಾತ ಉಂಟಾಗು
ಆಕಾಶಕ್ಕೆ ಏಣಿ ಹಾಕು	ಅಸಾಧ್ಯವಾದ ಕೆಲಸ ಮಾಡಲು ಯತ್ನಿಸು
ಆಕಾಶಕ್ಕೆ ಹಾರು	ಬಹಳ ಸಂತೋಷಗೊಳ್ಳು
ಆಕಾಶಕ್ಕೇರು	ಹೆಚ್ಚಾಗು, ಜಾಸ್ತಿಯಾಗು
ಆಕಾಶದಿಂದ ಧುಮುಕು	ಅತಿಶಯದಿಂದ ಕೂಡಿರು
ಆಕಾಶ ನೋಡು	ಏನೂ ತೋಚದಂತಾಗು, ಸುಮ್ಮನಿರು
ಆಕಾಶ ಭೂಮಿ ಒಂದು ಮಾಡು	ಬಹಳ ಗಲಾಟೆ ಮಾಡು
ಆಕಾಶ ಮುಟ್ಟು	ಬಹಳ ಎತ್ತರವಾಗು, ಉದ್ದವಾಗು
ಆಕಾಶವೇ ಹರಿದು ಬೀಳು	ಬೆಚ್ಚಿಬೀಳುವಂತೆ ಆಗು
ಆಡಿಕೊಳ್ಳು	ಅವಹೇಳನ ಮಾಡು, ಗೇಲಿ ಮಾಡು
ಆನೆ ಹೊಟ್ಟೆಯಲ್ಲಿ ಲದ್ದಿ	ಒಳ್ಳೆಯವರಿಗೆ ಕೆಟ್ಟಮಕ್ಕಳು ಹುಟ್ಟುವುದು
ಆರಕ್ಕೇರದೆ ಮೂರಕ್ಕಿಳಿಯದವನು	ಒಂದೇ ರೀತಿಯಲ್ಲಿ ವರ್ತಿಸುವನು
ಆಹಾರವಾಗು	ವಿಷಯವಾಗು
ಆಳವಾದ ಅನುಭವ	ಅತಿಶಯವಾದ ತಿಳಿವಳಿಕೆ
ಆಳಿನ ಮೇಲೆ ಬೀಳು	ಬಹಳ ಜನ ಸೇರಿ ಮಾಡುವ ಕೆಲಸ
ಇಂಗು ತಿಂದ ಮಂಗನಂತಾಗು	ಮೋಸ ಹೋಗು
ಇಂಗು ತಿನ್ನಿಸು	ಮೋಸ ಮಾಡು
ಇಂಬಳ ಹಿಡಿದ ಹಾಗೆ	ಪಟ್ಟು ಹಿಡಿದು ಮಾಡು
ಇಕ್ಕಳ ಹಾಕು	ಅಡ್ಡಿ ಮಾಡು
ಇದಿರು ಹಾಕಿಕೊಳ್ಳು	ವಿರೋಧ ಕಟ್ಟಿಕೊಳ್ಳು
ಇಬ್ಬಂದಿ ಮನುಷ್ಯ	ಒಂದನ್ನು ಎರಡು ಮಾಡುವವ
ಇರುವೆ ಬಿಟ್ಟುಕೊಳ್ಳು	ತಾನಾಗಿಯೇ ಕಷ್ಟಕ್ಕೆ ಸಿಕ್ಕಿಹಾಕಿಕೊಳ್ಳು
ಇಳಿದು ಹೋಗು	ಬಡವಾಗು, ಕೃಶವಾಗು
ಉಂಡ ಮನೆಗೆ ಎರಡು ಬಗೆ	ಉಪಕಾರ ಮಾಡಿದವನಿಗೆ ಕೇಡು ಬಗ
ಉಂಡಾಡಿ ಗುಂಡ	ತಿಂದು ತಿರುಗುವವನು, ಉಡಾಳ
ಉಕ್ಕಿನ ಕಡಲೆ	ಕಠಿಣವಾದ ಸಂಗತಿ
ಉಗುರು ಕಡಿ	ಚಿಂತಾಕ್ರಾಂತನಾಗು
ಉಗುಳು ದಾಟು	ಮಾತನ್ನು ಮೀರು, ಅತಿಕ್ರಮಿಸು
ಉಗುಳು ನುಂಗು	ಅನುಮಾನಿಸು, ಅಧೈರ್ಯ ಪಡು
ಉಚ್ಚೇಲಿ ಮೀನು ಹಿಡಿ	ಸಣ್ಣತನ ಮಾಡು, ಜಿಪುಣತನ
ಉಡದ ಹಿಡಿತ	ಭದ್ರವಾದ ಹಿಡಿತ
ಉಡಿಯೊಳಗೆ ಹಾಕು	ರಕ್ಷಣೆಗೆ ಒಪ್ಪಿಸು
ಉತ್ತರ ಕುಮಾರ	ಹೇಡಿ, ಕೈಲಾಗದವನ
ಉತ್ತರನ ಪೌರುಷ	ಹೆಂಗಸರ ಮುಂದೆ ವೀರ - ಧೀರ ಎಂದು ಹೇಳಿಕೊಳ್ಳುವುದು
ಉತ್ಸವ ಮೂರ್ತಿ	ಅಲಂಕಾರಕ್ಕೆ ಮಾತ್ರ ಇರುವವನು
ಉಪ್ಪಿನ ಋಣ	ಕೃತಜ್ಞತೆ, ಉಪಕಾರ ಸ್ಮರಣೆ
ಉಪ್ಪಿಲ್ಲ ಹುಳಿಯಿಲ್ಲ	ನೀರಸ, ಸ್ವಾರಸ್ಯವಿಲ್ಲದ
ಉಪ್ಪು ಬರುವ ಹೊತುತಿ	ಒಳ್ಳೆಯ ಸಮಯ ಬರುವ ಹೊತ್ತು
ಉಪ್ಪುಹಾಕು	ಪ್ರಚೋದಿಸು, ಉತ್ತೇಜಿಸು
ಉರಿ ಇಡು	ಜಗಳ ಹುಟ್ಟಿಸು, ದ್ವೇಷ ಬೆಳೆಸು
ಉರಿದು ಉಪ್ಪಾಕು	ಗೋಳು ಹೊಯ್ದುಕೊಳ್ಳು
ಉರಿದು ಹೋಗು	ಕರುಬು, ಕೋಪಗೊಳ್ಳು
ಉರುಳು ಹಾಕಿಕೊಳ್ಳು	ತೊಂದರೆ ತಂದುಕೊಳ್ಳು
ಉಸಿರು ಅಡಗಿಸು	ಸಾಯಿಸು, ನಾಶಪಡಿಸು
ಉಸಿರು ಉಡುಗು	ನಾಶವಾಗು, ಮಾತುನಿಲ್ಲು
ಉಸಿರು ಎತ್ತದಂತೆ ಮಾಡು	ಉತ್ತರವಿಲ್ಲದಂತೆ ಮಾಡು, ಮೂಕನನ್ನಾಗಿಸು
ಉಸಿರು ಕಟ್ಟಿಸು	ಸ್ತಂಭೀಭೂತನನ್ನಾಗಿ ಮಾಡು, ಸುಮ್ಮನಿರಿಸು
ಉಸಿರು ಕೊಡು	ಉತ್ಸಾಹಿಸು, ಉತ್ತೇಜನ ನೀಡು
ಉಸಿರು ತಟ್ಟು	ಶಾಪ ತಟ್ಟು
ಉಸಿರು ಬಿಗಿ ಹಿಡಿ	ತೆಪ್ಪಗಿರು, ಮಾತನಾಡದಂತೆ ಇರು
ಊಟಕ್ಕಿಲ್ಲದ ಉಪ್ಪಿನಕಾಯಿ	ಸಮಯಕ್ಕೆ ಒದಗದ ವಸ್ತು
ಊರ ದನಕಾಯಿ	ಬೇರೆಯವರ ಕೆಲಸ ಮಾಡು, ಪರೋಪಕಾರಿ
ಊರು ಕೇರಿ ಒಂದು ಮಾಡು	ಕಿತ್ತಾಡು, ಜೋರಾಗಿ ಜಗಳವಾಡು
ಊರು ಬಸವಿ	ಜಗಳಗಂಟಿ, ಗಯ್ಯಾಳಿ
ಎಂಜಲಿಗೆ ಕೈಯೊಡ್ಡು	ಹಂಗಿಗೊಳಗಾಗು
ಎಂಜಲು ಕೈಯ್ಯಲ್ಲಿ ಕಾಗೆ ಓಡಿಸದಿರು	ತುಂಬಾ ಜಿಪುಣತನ ತೋರಿಸು
ಎಂಟೆದೆ	ಬಹಳ ಧೈರ್ಯ, ಎದೆಗಾರಿಕೆ
ಬಹಳ ಧೈರ್ಯ, ಎದೆಗಾರಿಕೆ	ಹಾಳಾಗು
ಎಡಗೈಲಿ ಜೀವ ಹಿಡಿದುಕೊಳ್ಳು	ಬಹಳ ಭಯಪಡು
ಎಣ್ಣೆ ಬಂದಾಗ ಕಣ್ಣು ಮುಚ್ಚಳ್ಳುವುದು	ಫಲ ಬರುವ ಸಮಯಕ್ಕೆ ಸುಮ್ಮನಿರುವುದು
ಎಣ್ಣೆ ಸೀಗೆಕಾಯಿ	ಬಹಳ ದ್ವೇಷ, ಬದ್ಧ ವೈರತ್ವ
ಎತ್ತಂಗಡಿ ಮಾಡಿಸು	ವರ್ಗಾವಣೆ ಮಾಡು, ಸ್ಥಳಾಂತರಗೊಳಿಸು
ಎತ್ತಿ ಆಡು	ಮುಖ್ಯವಾಗಿ ಗಮನಿಸು, ದೋಷ ಗುರುತಿಸು
ಎತ್ತಿಕಟ್ಟು	ಚಾಡಿ ಹೇಳು, ಪ್ರಚೋದಿಸು
ಎತ್ತಿ ತೋರಿಸು	ಎದ್ದು ಕಾಣುವಂತೆ ಮಾಡು, ಸ್ಪಷ್ಟ ಪಡಿಸು
ಎತ್ತಿಹಾಕು	ಅಪಹರಿಸು, ಮೀರು
ಎದುರು ನೋಡು	ನಿರೀಕ್ಷಿಸು, ಕಾಯು
ಎದುರು ಬೀಳು	ಪ್ರತಿಭಟಿಸು, ವಿರೋಧಿಸು
ಎದುರು ಹಾಕಿಕೊಳ್ಳು	ವಿರೋಧ ಕಟ್ಟಿಕೊಳ್ಳು
ಎದೆ ಉಬ್ಬಿನಿಲ್ಲು	ತುಂಬ ಸಂತೋಷವಾಗು
ಎದೆ ಒಡೆ	ಧೈರ್ಯಗುಂದು
ಎದೆ ಕರಗು	ಮರುಕ ಹುಟ್ಟು ಅನುಕಂಪಗೊಳ್ಳು
ಎದೆ ಗಟ್ಟಿ ಮಾಡಿಕೊಳ್ಳು	ಧೈರ್ಯ ತಂದುಕೊಳ್ಳು
ಎದೆಗಾರ	ಧೀರ, ಧೈರ್ಯಶಾಲಿ
ಎದೆಗೆಡು	ಧೈರ್ಯ ಗುಂದು
ಎದೆ ತಟ್ಟಿ ಹೇಳು	ಖಚಿತವಾಗಿ ಹೇಳು, ಧೈರ್ಯದಿಂದ ಹೇಳು
ಎದೆತುಂಬಿ ಬರು	ಬಹಳವಾಗಿ ಸಂತೋಷಪಡು, ಹರ್ಷಿಸು
ಎದೆ ತುಂಬಿ ಹಾಡು	ಹೃದಯಪೂರ್ವಕವಾಗಿ ಹಾಡು, ತನ್ಮಯತೆಯಿಂದ ಹಾಡು
ಎದೆ ಬಿರಿದು ಹೋಗು	ತುಂಬಾ ಸಂಕಟವಾಗು, ನೋವು ಅನುಭವಿಸು
ಎದೆ ಭಾರವಾಗು	ದುಃಖವಾಗು
ಎದೆ ಮುಟ್ಟಿಕೊಂಡು ಹೇಳು	ಆತ್ಮಸಾಕ್ಷಿಯಿಂದ ಹೇಳು
ಎದೆಯನ್ನು ಕಲ್ಲು ಮಾಡಿಕೊಳ್ಳು	ನೋವನ್ನು ಸಹಿಸಿಕೊಳ್ಳು
ಎದ್ದು ಕಾಣು	ಸ್ಪಷ್ಟವಾಗಿ ತೋರು
ಎಮ್ಮೆ ತಮ್ಮಣ್ಣ	ಮೂರ್ಖ, ಹೆಡ್ಡ
ಎಮ್ಮೆ ಮೇಲೆ ಮಳೆ ಹೊಯ್ಯು	ಪರಿಣಾಮವಿಲ್ಲದಿರುವುದು, ವ್ಯರ್ಥ
ಎರಡು ಜೀವದವಳು	ಬಸುರಿ, ಗರ್ಭಿಣಿ
ಎರಡು ತಲೆ ಹಾವು	ಇಬ್ಬರಿಗೂ ಮೋಸ ಮಾಡುವವನು, ನಂಬಿಕೆಗೆ ಅರ್ಹನಲ್ಲದವನು
ಎರಡು ನಾಲಿಗೆಯವನು	ಸುಳ್ಳು ಹೇಳುವವನು
ಎರಡು ಬಗೆ	ಮೋಸಮಾಡು, ಕೆಟ್ಟದ್ದನ್ನು ಮಾಡು
ಎಲೆಮರೆಯ ಕಾಯಿ	ಯಾವುದೇ ಪ್ರತಿಫಲ ಬಯಸದೇ ಕೆಲಸ ಮಾಡುವವ
ಎಲ್ಲರ ಬಾಯಲ್ಲೂ ಇರು	ಪ್ರಸಿದ್ಧನಾಗು, ಪ್ರಚಾರ ಹೊಂದು
ಎಳೆ ನಿಂಬೆಕಾಯಿ	ಅನನುಭವಿ, ನಿರನುಭವಿ
ಎಳ್ಳು ನೀರು ಬಿಡು	ತ್ಯಾಗ ಮಾಡು, ಆಸೆ ಬಿಡು
ಏಕಕಂಠ	ಒಮ್ಮತ, ಒಟ್ಟಿಗೆ ಹೇಳುವುದು
ಏಟು ತಿನ್ನು	ಸೋಲು, ಅಪಜಯ
ಏತಿ ಅಂದ್ರೆ ಪ್ರೇತಿ ಅನ್ನು	ಎಲ್ಲದಕ್ಕೂ ವಿರೋಧ ವ್ಯಕ್ತಪಡಿಸುವವ
ಏಳನೆಯ ತಿಂಗಳಲ್ಲಿ ಹುಟ್ಟಿದವನು	ಎಲ್ಲ ಕಾರ್ಯಗಳಲ್ಲಿ ಅವಸರಿಸುವವ
ಏಳು ಕೆರೆಯ ನೀರು ಕುಡಿದವ	ಬಹಳ ಅನುಭವಶಾಲಿ
ಏಳು ಹನ್ನೊಂದಾಗು	ಹಾಳಾಗು, ನಾಶವಾಗು
ಒಂಟಿಗಾಲ ಮೇಲೆ ನಿಲ್ಲು	ಆತುರವಾಗು
ಒಂದು ಕಣ್ಣಿಗೆ ಬೆಣ್ಣೆ ಒಂದು ಕಣ್ಣಿಗೆ ಸುಣ್ಣ	ಭೇದಭಾವ, ಪಕ್ಷಪಾತ
ಒಂದು ಕಾಲು ಒಳಗೆ ಒಂದು ಕಾಲು ಹೊರಗೆ	ಗಡಿಬಿಡಿಯಲ್ಲಿರುವಿಕೆ, ಅವಸರ
ಒಂದು ಕೈ ನೋಡು	ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳು, ಪ್ರಯತ್ನಪಡು
ಒಂದೇ ಕಣ್ಣಲ್ಲಿ ಅಳು	ನೋವು ಅನುಭವಿಸು, ಸಂಕಟಪಡು
ಒಂದೇ ದೋಣಿಯಲ್ಲಿ ತೇಲು	ಸಮಾನ ಸ್ಥಿತಿ
ಒಗ್ಗರಣೆ ಹಾಕು	ಹೆಚ್ಚಿಸು, ಹೆಚ್ಚಾಗುವಂತೆ ಮಾಡು, ನಡುವೆ ಮಾತನಾಡು
ಒಡಕು ಬಾಯಿ	ರಹಸ್ಯವನ್ನು ಕಾಪಾಡದವ
ಒಡಕು ಹುಟ್ಟು	ಒಗ್ಗಟ್ಟಿಲ್ಲವಾಗು
ಒಡೆದ ಕನ್ನಡಿ	ಸರಿಪಡಿಸಲು ಆಗದ 
ಒಡೆದ ಮನೆ	ಪರಸ್ಪರ ಬೇರೆಯಾದ ಅಣ್ಣ ತಮ್ಮಂದಿರು, ಪ್ರತ್ಯೇಕತೆ
ಒಡೆದ ಹಾಲು	ವಿಶ್ವಾಸ ಕಳೆದುಹೋಗು
ಒಣಪಾಂಡಿತ್ಯ	ಕೆಲಸಕ್ಕೆ ಬಾರದ ಜಾಣ್ಮ
ಒಣ ರಗಳೆ	ವ್ಯರ್ಥವಾದ ಕಲಾಪ
ಒಣ ವೇದಾಂತ	ಕೆಲಸಕ್ಕೆ ಬಾರದ ವಿಷಯ
ಒಣ ಹರಟೆ	ಉಪಯೋಗವಿಲ್ಲದ ಮಾತು, ಗೊಡ್ಡು ಹರಟೆ
ಒಪ್ಪಿಸಿಕೊಳ್ಳು	ಸ್ವೀಕರಿಸು
ಒರೆಗೆ ಹಚ್ಚು	ಪರೀಕ್ಷಿಸು
ಒಳಗಣ್ಣು	ಅಂತರಂಗ, ಮನಸ್ಸಿನಿಂದ ನೋಡುವುದು
ಒಳಗೆ ಹಾಕಿಕೊಳ್ಳು	ತನ್ನ ಗುಂಪಿಗೆ ಸೇರಿಸಿಕೊಳ್ಳುವುದು
ಓಂ ಪ್ರಥಮ	ಮೊತ್ತಮೊದಲು
ಓನಾಮ	ಆರಂಭ, ಮೊದಲು ಮಾಡು
ಓಟಕೀಳು	ಓಡಿಹೋಗು, ಪಲಾಯನ ಮಾಡು
ಓಲೆಭಾಗ್ಯ	ಮುತ್ತೈದೆಯಾಗಿರುವುದು
ಔಷಧಕ್ಕೂ ಇಲ್ಲದಿರು	ಪೂರಾ ಖಾಲಿಯಾಗಿರು
ಕಂಕಣ ಕೂಡಿಬರು	ಮದುವೆಯ ಯೋಗ ಬರುವುದು
ಕಂಕಣ ತೊಡು	ನಿರ್ಧರಿಸು, ಸಂಕಲ್ಪಮಾಡು
ಕಂಕಣ ಬಲ	ಮದುವೆಯ ಯೋಗ
ಕಂಚಿನ ಧ್ವನಿ	ದೊಡ್ಡ ಧ್ವನಿ, ದೊಡ್ಡ ಗಂಟಲು
ಕಂಠದಾನ ಮಾಡು	ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಧ್ವನಿ ನೀಡು
ಕಂಠ ಬಿಗಿದು ಬರು	ದುಃಖದಲ್ಲಿರು, ಮಾತನಾಡಲು ಕಷ್ಟವಾಗು
ಕಂಠಶೋಷಣೆ ಮಾಡಿಕೊಳ್ಳು	ವ್ಯರ್ಥವಾಗಿ ಮಾತನಾಡು
ಕಂತೆ ಒಗೆ	ಸತ್ತು ಹೋಗು, ಮರಣಿಸು
ಕಂತೆ ಪುರಾಣ	ಅರ್ಥವಿಲ್ಲದ ವಿಚಾರ
ಕಂಬಿ ಕೀಳಿಸು	ಓಡಿಸು, ಖಾಲಿ ಮಾಡಿಸು
ಕಂಬಿ ಕೀಳು	ಓಡಿಹೋಗು, ಪರಾರಿಯಾಗು
ಕಂಬಿಯಿಲ್ಲದೇ ರೈಲು ಬಿಡು	ಸುಳ್ಳು ಹೇಳುವುದು
ಕಂಭಸುತ್ತು	ವ್ಯರ್ಥವಾಗಿ ಕೆಲಸ ಮಾಡು
ಕಚ್ಚೆ ಬಿಗಿ	ಸಿದ್ಧನಾಗು
ಕಚ್ಚೆಹರುಕ	ಕಾಮುಕ, ವ್ಯಭಿಚಾರಿ
ಕಜ್ಜಾಯ ನೀಡು	ಹೊಡೆ, ಏಟು ನೀಡು
ಕಟಕಟೆ ಹತ್ತಿಸು	ಕೋರ್ಟಿಗೆ ಎಳೆ
ಕಟ್ಟುಕತೆ	ಸುಳ್ಳು ಮಾತುಗಳು
ಕಟ್ಟುಪಾಡು	ನಿಯಮ, ನಿರ್ಭಂಧ
ಕಟ್ಟು ಬೀಳು	ನಿರ್ಬಂಧಕ್ಕೆ ಒಳಗಾಗು
ಕಟ್ಟೆಪುರಾಣ	ಹಾಳು ಹರಟೆ
ಕಡತ ಬಿಚ್ಚು	ಹಿಂದಿನ ವಿಚಾರಗಳನ್ನು ಕುರಿತು ಮಾತನಾಡುವುದು
ಕಡಿವಾಣ ಹಾಕು	ನಿಯಂತ್ರಿಸು
ಕಡೆಗಣ್ಣಲ್ಲಿ ಕಾಣು	ನಿರ್ಲಕ್ಷಿಸು, ಕೀಳಾಗಿ ನೋಡು
ಕಡ್ಡಿ ಆಡಿಸು	ಕೆಲಸವನ್ನು ಕೆಡಿಸು
