ಅಂಕದ ಪರದೆ ಏಳು	ಪ್ರಾರಂಭವಾಗು, ಆರಂಭವಾಗು
ಕಡ್ಡಿ ತುಂಡಾಗಿಸು	ನಿರ್ದಾಕ್ಷಿಣ್ಯವಾಗಿ ಮಾತನಾಡು
ಕಡ್ಡಿಮುರಿದ ಹಾಗೆ ಹೇಳು	ನಿಷ್ಟುರವಾಗಿ ಹೇಳು
ಕಡ್ಡಿ ಹಚ್ಚು	ಎರಡು ಬಗೆ, ತೊಂದರೆ ನೀಡು
ಕಣಕ್ಕಿಳಿ	ಕಾರ್ಯಕ್ಕೆ ಸಿದ್ಧನಾಗು
ಕಣಿಕೇಳು	ಗೊತ್ತಿರುವ ವಿಷಯವನ್ನು ಪದೇಪದೇ ಕೇಳುವುದು
ಕಣ್ಮಟ್ಟು	ಮೋಸ, ವಂಚನೆ
ಕಣ್ಣರಳಿಸು	ಸಂತೋಷಪಡು, ಆನಂದಿಸು
ಕಣ್ಣರಳಿಸಿ ನೋಡು	ಕುತೂಹಲದಿಂದ ನೋಡು
ಕಣ್ಣಿಗೆ ಒತ್ತು	ಹೊಟ್ಟೆಕಿಚ್ಚಾಗು
ಕಣ್ಣಲ್ಲಿ ಕಣ್ಣಿಟ್ಟು ನೋಡು	ಎಚ್ಚರಿಕೆಯಿಂದ ನೋಡು
ಕಣ್ಣಲ್ಲಿ ಜೀವ ಹಿಡಿ	ಭಯಪಡು, ಹೆದರು
ಕಣ್ಣಲ್ಲಿ ರಕ್ತ ಬರು	ಬಹಳ ನೋವಾಗು
ಕಣ್ಣಾಡಿಸು	ಗಮನಿಸು, ಲಕ್ಷಿಸು
ಕಣ್ಣಿಗೆ ಅಂಜನ ಹಾಕಿಕೊಂಡು ಹುಡುಕು	ಗಮನವಿಟ್ಟು ಹುಡುಕು
ಕಣ್ಣಿಗೆ ಒತ್ತಿಕೊಳ್ಳು	ಬಹಳ ಇಷ್ಟಪಡು
ಕಣ್ಣಿಗೆ ಕಣ್ಣು ಹತ್ತು	ನಿದ್ರಿಸು
ಕಣ್ಣಿಗೆ ಬೀಳು	ಮುಂದಾಗಿ ಕಾಣಿಸು
ಕಣ್ಣಿಗೆ ಮಣ್ಣೆರಚು	ಮೋಸಮಾಡು, ವಂಚಿಸು
ಕಣ್ಣಿಗೆ ಹಬ್ಬ	ಬಹಳ ಇಷ್ಟವಾಗುವ ದೃಶ್ಯ
ಕಣ್ಣಿಡು	ಗಮನಿಸು, ನಿಗಾವಹಿಸು
ಕಣ್ಣಿನಿಂದ ಕೆಂಡಕಾರು	ಬಹಳ ಕೋಪಗೊಳ್ಳು
ಕಣ್ಣೀರಲ್ಲಿ ಕೈತೊಳೆ	ಬಹಳ ಕಷ್ಟದಲ್ಲಿರು
ಕಣ್ಣೀರಿನಲ್ಲಿ ಕೂಳುತಿನ್ನು	ಕಷ್ಟದಲ್ಲಿರು
ಕಣ್ಣೀರು ಒರೆಸು	ಸಮಾಧಾನಿಸು
ಕಣ್ಣೀರು ಕಪಾಳಕ್ಕೆ ಬರು	ಬಹಳ ಕಷ್ಟವಾಗು
ಕಣ್ಣು ಇಂಗಿ ಹೋಗು	ಕುರುಡಾಗು
ಕಣ್ಣು ಒರೆಸು	ಬಾಯಿ ಮಾತಿನಲ್ಲಿ ಸಂತೈಸು
ಕಣ್ಣು ಎಳೆ	ನಿದ್ರೆ ಬರು
ಕಣ್ಣು ಒದ್ದೆಯಾಗು	ದುಃಖಿಸು, ಭಾವೋದ್ರೇಕ
ಕಣ್ಣು ಕಣ್ಣು ಬಿಡು	ಏನೂ ತೋಚದ ಸ್ಥಿತಿ
ಕಣ್ಣು ಕತ್ತಲಿರಿಸು	ಬವಳಿ ಬರು
ಕಣ್ಣು ಕಿವಿಯಿಡು	ಲಕ್ಷಿಸು, ವಿಶೇಷವಾಗಿ ಗಮನಿಸು
ಕಣ್ಣು ಕಿಸಿರಾಗು	ಅಸಹನೆಯುಂಟಾಗುವುದು
ಕಣ್ಣು ಕೀಳು	ದೃಷ್ಟಿಯನ್ನು ಬದಲಿಸು
ಕಣ್ಣು ಕುಕ್ಕು	ಹೊಟ್ಟೆ ಉರಿಯುವಂತೆ ಮಾಡು
ಕಣ್ಣು ಕೆಂಪಗಾಗು	ಕೋಪ ಬರುವುದು
ಕಣ್ಣು ಕೊಡು	ಮಾರ್ಗದರ್ಶನ ಮಾಡು
ಕಣ್ಣುಗುಡ್ಡೆ ಮೆಲಕ್ಕೆ ಹೋಗುವಂತಾಗು	ತುಂಬಾ ಆಯಾಸವಾಗು
ಕಣ್ಣುಗೊಂಬೆ	ತುಂಬಾ ಪ್ರೀತಿಪಾತ್ರ
ಕಣ್ಣು ತಪ್ಪಿಸು	ಇನ್ನೊಬ್ಬರಿಗೆ ಗೊತ್ತಾಗದಂತೆ ಮಾಡು
ಕಣ್ಣು ನೆತ್ತಿಗೆ ಬರು	ಅಹಂಕಾರ, ಗರ್ವ
ಕಣ್ಣು ಬಿಡು	ಕೋಪದಿಂದ ನೋಡು, ಏಳಿಗೆ ಹೊಂದು
ಕಣ್ಣು ಬೆಳ್ಳಗಾಗು	ಮರಣ ಹೊಂದು
ಕಣ್ಣು ಬೇನೆ	ಹೊಟ್ಟೆಕಿಚ್ಚು
ಕಣ್ಣು ಮಿಟುಕಿಸು	ಸನ್ನೆ ಮಾಡು
ಕಣ್ಣು ಮುಚ್ಚು	ಮರಣಹೊಂದು
ಕಣ್ಣುರಿ	ಅಸೂಯೆ, ಹೊಟ್ಟೆಕಿಚ್ಚು
ಕಣ್ಣು ಹಾಕು	ಕೆಟ್ಟ ರೀತಿಯಲ್ಲಿ ನೋಡು
ಕಣ್ಣು ಹಾಯಿಸು	ನೋಡು, ಗಮನಿಸು
ಕಣ್ಣು ಹೊಡೆ	ಸನ್ನೆ ಮಾಡು
ಕಣ್ಣೆತ್ತಿನೋಡು	ಗಮನಿಸು
ಕಣ್ಣೆರಸು	ಸಮಾಧಾನ ಮಾಡು
ಕಣ್ಮಣಿ	ಪ್ರೀತಿಯ ವಸ್ತು, ವ್ಯಕ್ತಿ
ಕತೆ ಮುಗಿ	ಸಾಯು, ಅಂತ್ಯಕಾಣು
ಕತ್ತರಿ ಪ್ರಯೋಗ	ಬೇಡವಾದುದನ್ನು ತೆಗೆದುಹಾಕುವುದು
ಕತ್ತರಿ ಹಾಕು	ಮಾಡುವ ಕೆಲಸದಲ್ಲಿ ಅಡ್ಡಿ ಮಾಡು
ಕತ್ತಲೆ ಮನೆ	ಜೈಲು
ಕತ್ತಿ ಎತ್ತಿ ಕಟ್ಟು	ಯುದ್ಧಕ್ಕೆ ಸಿದ್ಧತೆ ಮಾಡು
ಕತ್ತಿನ ತನಕ ಇರು	ಬಹಳ ದ್ವೇಷ
ಕತ್ತಿ ಮಸೆ	ದ್ವೇಷ ಸಾಧಿಸು
ಕತ್ತೆ ಕಾಯು	ಸೋಮಾರಿತನ
ಕತ್ತೆಚಾಕರಿ	ಬಹಳಷ್ಟು ಕೆಲಸ
ಕತ್ತೆ ಬಾಲ ಹೋಗು	ನಷ್ಟವಿಲ್ಲದಿರು
ಕಥೆಯಾಗು	ದೊಡ್ಡ ವಿಷಯವಾಗು
ಕನಸಿನ ಗಂಟು	ಅಸಾಧ್ಯವಾದ ವಿಷಯ
ಕನಸಿನ ಗೋಪುರ	ಕಲ್ಪನಾಲೋಕ
ಕನಸು ಕಾಣು	ಕಲ್ಪಿಸಿಕೊಳ್ಳುವುದು
ಕನ್ನಡಿಯೊಳಗಿನ ಗಂಟು	ಕೈಗೆ ಸಿಗದ ವಸ್ತು
ಕನ್ಯಾಸೆರೆ ಬಿಡಿಸು	ಮಗಳ ಮದುವೆ ಮಾಡಿಸು
ಕಪಾಳ ಮೋಕ್ಷ	ಕೆನ್ನಗೆ ಹೊಡೆ
ಕಪಿಮುಷ್ಟಿ	ಬಿಗಿಯಾದ ಹಿಡಿತ
ಕಪಿಸೇನೆ	ಗದ್ದಲ ಮಾಡುವ ಮಕ್ಕಳ ಗುಂಪು
ಕಪ್ಪುಹಣ	ತೆರಿಗೆ ವಂಚಿಸಿ ಸಂಗ್ರಹಿಸಿದ ಹಣ
ಕಬ್ಬಿಣದ ಕಡಲೆ	ಬಹಳ ಕಠಿಣ ವಿಷಯ
ಕರಟು ಬೀಳು	ಬೆಳವಣಿಗೆ ನಿಂತು ಹೊಗು
ಕರುಳಿಗೆ ಕೊಳ್ಳಿ ಇಡು	ಬಹಳ ಕಷ್ಟಕೊಡು, ನೋವುಂಟು ಮಾಡು
ಕರುಳಿನ ಮೇಲೆ ಬರೆ ಹಾಕು	ದುಃಖ ನೀಡು
ಕರುಳಿನಲ್ಲಿ ಕತ್ತರಿ ಆಡಿಸು	ಕಷ್ಟ ಕೊಡು, ನೋವು ನೀಡು
ಕರುಳಿನ ಕುಡಿ	ಸ್ವಂತ ಸಂತಾನ
ಕರುಳು ಕತ್ತರಿಸು	ತುಂಬ ಯಾತನೆ ನೀಡು
ಕರುಳು ಕರಗಿಸು	ಮರುಕವನ್ನುಂಟು ಮಾಡು
ಕರುಳು ಕಿತ್ತುಬರು	ಬಹಳ ಯಾತನೆಯಾಗು
ಕರುಳು ಚುರುಕ್ ಅನ್ನು	ಸಂಕಟವಾಗು
ಕರುಳು ಬಳ್ಳಿ	ರಕ್ತ ಸಂಬಂಧ
ಕರುಳು ಹಿಂಡು	ಬಹಳ ಸಂಕಟವಾಗು
ಕರ್ಮಕಾಂಡ	ಕೆಟ್ಟಕೆಲಸಗಳ ಸರಣಿ
ಕಲ್ಲು ಕರಗು	ದುಷ್ಟನೂ ಸಹ ಕರುಣೆ ತೋರುವುದು
ಕಲ್ಲು ಗುದ್ದಿ ನೀರು ತರಿಸು	ಪರಿಶ್ರಮದ ಕೆಲಸ ಮಾಡುವುದು
ಕಲ್ಲು ಮನಸ್ಸು	ಕಠಿಣ ಮನಸ್ಸು
ಕಲ್ಲು ಮುಳ್ಳು	ಕಠಿಣ ಇರುವುದು
ಕಲ್ಲು ಹಾಕು	ಹಾಳು ಮಾಡು, ಕೆಡಿಸು
ಕಲ್ಲೆದೆ	ಕಠಿಣ ಮನಸ್ಸು
ಕವಳ ಕತ್ತರಿಸು	ಬಿಟ್ಟಿ ಊಟ ಮಾಡು
ಕಸದ ಬುಟ್ಟಿಗೆ ಹಾಕು	ಅಲಕ್ಷಿಸು
ಕಹಳೆ ಬಾಯಿ	ಎಲ್ಲರೆದುರು ಹೇಳುವುದು
ಕಳಸ ಇಡು	ಶೋಭಿಸುವಂತೆ ಮಾಡು
ಕಳ್ಳಗಂಟು	ವಂಚನೆಯಿಂದ ಸಂಗ್ರಹಿಸಿದ ಹಣ
ಕಳ್ಳದಾರಿ	ಗುಪ್ತದಾರಿ
ಕಳ್ಳನೆವ	ಸುಳ್ಳು ಕಾರಣ
ಕಳ್ಳ ವ್ಯಾಪಾರ	ಮೋಸದ ವ್ಯಾಪಾರ
ಕಳ್ಳ ಸಾಕ್ಷಿ	ಸುಳ್ಳು ಸಾಕ್ಷಿ
ಕಳ್ಳ ಹೆಜ್ಜೆ	ಯಾರಿಗೂ ಗೊತ್ತಾಗದಂತೆ ನಡೆಯುವುದು
ಕಾಕಾ ಹಿಡಿ	ಬೇರೆಯವನನ್ನು ಹೊಗಳಿ ಕೆಲಸ ಸಾಧಿಸುವುದು
ಕಾಗಕ್ಕ ಗುಬ್ಬಕ್ಕನ ಕಥೆ	ಸುಳ್ಳು ಕಥೆ
ಕಾಗೆ ಬಳಗ	ಹೆಚ್ಚು ಜನ ಸಂಬಂಧಿಗಳು
ಕಾಜಿ ನ್ಯಾಯ	ಎಲ್ಲರಿಗೂ ಸಮಾಧಾನ ನೀಡುವ ನ್ಯಾಯ
ಕಾಟಾಚಾರ	ಬೇಕಾಬಿಟ್ಟಿ ಕೆಲಸ
ಕಾಡುಪಾಲು ಮಾಡು	ಅನಾಥರನ್ನಾಗಿ ಮಾಡು
ಕಾಡು ಬೆಳದಿಂಗಳು	ನಿರರ್ಥಕವಾದುದು
ಕಾಡು ಹರಟೆ	ಕೆಲಸಕ್ಕೆ ಬಾರದ ಮಾತು
ಕಾಮಧೇನು	ಕೇಳಿದ್ದನ್ನು ಕೊಡುವವ
ಕಾಮಾಲೆ ಕಣ್ಣು	ಸಂದೇಹದ ದೃಷ್ಟಿ
ಕಾರಸ್ಥಾನ ಮಾಡು	ಪಿತೂರಿ ಮಾಡು
ಕಾಲ ಕೂಡಿಬರು	ಒಳ್ಳೆಯ ಸಮಯ ಬರುವುದು
ಕಾಲಮೇಲೆ ಕಾಲು ಹಾಕು	ಕಷ್ಟವಿಲ್ಲದೇ ಇರು, ಆರಾಮವಾಗಿರು
ಕಾಲಲ್ಲಿ ಚಕ್ರವಿರು	ಅಲೆಮಾರಿಯಾಗಿರುವುದು
ಕಾಲವಾಗು	ಮರಣ ಹೊಂದು
ಕಾಲ ಹಾಕು	ಜೀವನ ಸಾಗಿಸು
ಕಾಲಿಗೆ ಬುದ್ದಿಹೇಳು	ಪಲಾಯನ ಮಾಡು, ಓಡಿ ಹೋಗು
ಕಾಲಿಡು	ಆರಂಭವಾಗು
ಕಾಲು ಕಸ	ಬೆಲೆಯಿಲ್ಲದ
ಕಾಲು ಕೀಳು	ಪಲಾಯನ ಮಾಡು, ಸ್ಥಳ ಖಾಲಿ ಮಾಡು
ಕಾಲು ಕೆದರು	ಜಗಳಕ್ಕೆ ನಿಲ್ಲು
ಕಾಲು ಚಾಚು	ಸುಖವಾಗಿರು
ಕಾಲು ಜಾರು	ಕೆಟ್ಟದಾರಿ ಹಿಡಿ
ಕಾಲು ಮುರಿದು ಕೈಗೆ ಕೊಡು	ಶಿಕ್ಷಿಸು, ದಂಡಿಸು
ಕಾಲು ಸುಟ್ಟ ಬೆಕ್ಕು	ಬುದ್ದಿ ಕಲಿ
ಕಾಲು ಹಾಕು	ನಡುವೆ ಪ್ರವೇಶಿಸು
ಕಾಲು ಹಿಡಿ	ಶರಣಾಗು, ಬೇಡಿಕೊಳ್ಳು
ಕಾಲೂರು	ನೆಲೆನಿಲ್ಲು, ವಾಸಿಸು
ಕಾಸಿಗೆ ಕಾಸು ಗಂಟು ಹಾಕು	ಜಿಪುಣತನ
ಕಿಡಿ ಕಾರು	ಅತಿಯಾಗಿ ಕೋಪಮಾಡಿಕೊಳ್ಳು
ಕಿಡಿಕಿಡಿಯಾಗು	ಅತಿಯಾಗಿ ಕೋಪಿಸಿಕೊಳ್ಳು
ಕೀರಿಟಪ್ರಾಯವಾಗು	ಶೋಭೆ ತರುವಂತಿರು
ಕಿರುಬೆರಳಲ್ಲಿ ಕುಣಿಸು	ಹೇಳಿದಂತೆ ಕೇಳುವ ಹಾಗೆ ಮಾಡು
ಕಿವಿ ಉದ್ದವಾಗು	ಕದ್ದು ಕೇಳಲು ಉತ್ಸುಕನಾಗು
ಕಿವಿ ಊದು	ಚಾಡಿ ಹೇಳು
ಕಿವಿ ಕಚ್ಚು	ಬೇರೆಯವರ ಬಗ್ಗೆ ಚಾಡಿ ಹೇಳು
ಕಿವಿಕೊಟ್ಟು ಕೇಳು	ಗಮನವಿಟ್ಟು ಕೇಳು
ಕಿವಿ ಕೊಡು	ಗಮನವಿಟ್ಟು ಕೇಳು
ಕಿವಿಗೆ ಬೀಳು	ಪ್ರಯತ್ನವಿಲ್ಲದೇ ಕೇಳಿಬರುವುದು
ಕಿವಿಗೆ ಹಾಕಿಕೊಳ್ಳು	ಕೇಳಿಸಿಕೊಳ್ಳು
ಕಿವಿಗೆ ಹಾಕು	ತಿಳಿಸು
ಕಿವಿ ಚುಚ್ಚು	ಚಾಡಿ ಹೇಳು
ಕಿವಿ ಚುರುಕಾಗು	ಉತ್ಸುಕನಾಗು
ಕಿವಿ ತುಂಬು	ಚಾಡಿ ಹೇಳು
ಕಿವಿ ನೆಟ್ಟಗಾಗು	ಕೇಳಲು ಕುತೂಹಲವಾಗು
ಕಿವಿಮಾತು	ಗುಟ್ಟಿನಿಂದ ಕೂಡಿದ ಮಾತು
ಕಿವಿಯ ಮೇಲೆ ಹಾಕಿಕೊಳ್ಳು	ಗಮನವಿಟ್ಟು ಕೇಳು
ಕಿವಿಹಿಂಡು	ಚಾಡಿ ಹೇಳಿ ಮನಸ್ಸು ತಿರುಗಿಸು
ಕಿಮ್ಮಿಂದೆ	ಇಕ್ಕಟ್ಟಾದ ಪ್ರದೇಶ
ಕಿಸುಗಾಲು ಹಾಕು	ಆಯಾಸ ಹೊಂದು
ಕಿಸುಬಾಯಿದಾಸ	ಮೂರ್ಖ, ದಡ್ಡ
ಕಿಸೆಗೆ ಹಾಕಿಕೊಳ್ಳು	ತನ್ನ ವಶ ಮಾಡಿಕೊಳ್ಳು
ಕೀಲಿ ಕೊಡು	ಪ್ರೇರೇಪಿಸು, ಅವಕಾಶ ನೀಡು
ಕುಂಕುಮ ಬಲ	ಮುತ್ತೈದೆತನ
ಕುಂಕುಮ ಹಚ್ಚು	ಕನೈಯನ್ನು ಮದುವೆಗೆ ನಿಶ್ಚಿತಗೊಳಿಸು
ಕುಂಟು ನೆಪ	ತೋರಿಕೆಯ ಕಾರಣ
ಕುಂಭಕರ್ಣ	ಹೆಚ್ಚು ನಿದ್ದೆ ಮಾಡುವವನು
ಕುಟುಕು ಜೀವ	ಆಗಲೋ ಈಗಲೋ ಸಾಯುವವ
ಕುಠಾರ ಪ್ರಾಯ	ಎಲ್ಲರಿಗೂ ಮನಸ್ಸು ನೋಯುವಂತೆ ಮಾಡುವವ
ಕುಡಿದ ನೀರು ಅಲ್ಲಾಡು	ಯಾವುದೇ ರೀತಿಯ ತೊಂದರೆ ಆಗದಿರು
ಕುತ್ತಿಗೆ ಕೊಯ್ಯು	ಮೋಸಮಾಡು
ಕುತ್ತಿಗೆಗೆ ಕಟ್ಟಿಕೊಳ್ಳು	ಜವಾಬ್ದಾರಿ ಹೊರು
ಕುತ್ತಿಗೆಗೆ ಬರು	ಸಂಕಟ ಬರು
ಕುತ್ತಿಗೆಗೆ ಬೀಳು	ಜವಾಬ್ದಾರಿ ಹೊರು
ಕುತ್ತಿಗೆ ವರೆಗೆ ಇರು	ಬಹಳ ದ್ವೇಷ ತುಂಬಿರು
ಕುತ್ತಿಗೆ ಮೇಲೆ ಕೂರು	ಬಹಳ ಒತ್ತಾಯ ಮಾಡು
ಕುದುರೆಯ ಕೊಂಬು	ಕಾಣಲು ಅಸಾಧ್ಯವಾದುದು, ಕಲ್ಪಿತವಾದುದು
ಕುಬೇರ	ಆಗರ್ಭ ಶ್ರೀಮಂತ
ಕುಬೇರನ ಸಂಪತ್ತು	ಬಹಳಷ್ಟು ಸಂಪತ್ತು
ಕುರಿ ಕೋಣ ಬೀಳು	ಬಹಳ ಕಷ್ಟಕರವಾಗು
ಕುರುಡಾಗು	ತಿಳಿವಳಿಕೆಯಿಲ್ಲದಿರು.
ಕುರುಡು ನಂಬಿಕೆ	ಮೂಢನಂಬಿಕೆ
ಕುರುಡೇಟು	ಗುರಿಯಿಲ್ಲದೇ ಹೊಡೆದ ಪೆಟ್ಟು
ಕುರುವಿನ ಮೇಲೆ ಬೊಕ್ಕೆ ಏಳು	ಸತತವಾಗಿ ಕಷ್ಟಗಳು ಬರುವುದು
ಕುಲಗೆಡು	ನಾಶವಾಗು, ಹಾಳಾಗು
ಕೂತು ಮಲಗು	ತಾಳ್ಮೆ ವಹಿಸು
ಕೂದಲು ನೆಟ್ಟಗಾಗು	ಆಶ್ಚರ್ಯವಾಗು, ವಿಸ್ಮಯವಾಗು
ಕೂದಲು ಹಣ್ಣಾಗು	ವಯಸ್ಸಾಗು
ಕೂದಲೆಳೆಯಷ್ಟು	ಸ್ವಲ್ಪ ಬಹಳ ಕಡಿಮೆ
ಕೂಪ ಮಂಡೂಕ	ಸೀಮಿತ ಬುದ್ಧಿಯವನು
ಕೂಳಿಗೆ ಕೇಡು	ಸೋಮಾರಿ
ಕೆಂಡಕಾರು	ಬಹಳ ಕೋಪಮಾಡಿಕೊಳ್ಳು
ಕೆಚ್ಚಲು ಕಚ್ಚಿದ ಉಣ್ಣೆ	ಸುಖ ಇದ್ದರೂ ಅದನ್ನು ಅನುಭವಿಸದಿರುವಿಕೆ
ಕೆಚ್ಚಲು ಕೊಯ್ಯು	ದುರಾಸೆಗೊಳಗಾಗುವುದು, ಪೂರ್ಣ ನಾಶಗೊಳಿಸುವುದು
ಕೆನ್ನೆ ಕೆಂಪಾಗು	ನಾಚಿಕೊಳ್ಳು, ಲಜ್ಜೆಗೀಡಾಗು
ಕೆಸರಿನಲ್ಲಿ ನೆಟ್ಟ ಕಂಬ	ಅಸ್ಥಿರವಾದುದು
ಕೈಯಿಡು	ಆರಂಭ ಮಾಡು
ಕೈಯೆತುತಿ	ಸಹಮತ ಸೂಚಿಸು, ಒಪ್ಪು
ಕೈಯೊಡ್ಡು	ಬೇಡು, ಕೇಳು
ಕೈಕಚ್ಚು	ನಷ್ಟವಾಗು, ಕಳೆದುಕೊಳ್ಳು
ಕೈ ಕಟ್ಟಿ ಕೂಡು	ನಿರುಪಾಯನಾಗು
ಕೈ ಕಟ್ಟಿನಿಲ್ಲು	ಸಿದ್ದನಾಗು
ಕೈ ಕಾಯು	ರಕ್ಷಣೆ ನೀಡು
ಕೈ ಕಾಲು ಕಟ್ಟಿಕೊಳ್ಳು	ಶರಣಾಗು, ಬೇಡು
ಕೈ ಕಾಲು ಗಟ್ಟಿಯಾಗಿರು	ಬಹಳ ಶಕ್ತಿಯಿರು
ಕೈ ಕಾಲುಗೆಡು	ಧೈರ್ಯಗುಂದು, ಎದೆಗೆಡು, ಕಂಗಾಲಾಗು
ಕೈ ಕಾಲು ನಡುಗು	ಭಯವಾಗು, ವಯಸ್ಸಾಗು
ಕೈ ಕಾಲು ಬಿಡು	ಕಂಗಾಲಾಗು, ಭಯಹೊಂದು
ಕೈ ಕಾಲು ಬೀಳು	ನಿಶ್ಯಕ್ತಿ ಹೊಂದು
ಕೈ ಕಾಲು ಹಿಡಿ	ಅಂಗಲಾಚು, ದೈನ್ಯದಿಂದ ಬೇಡು
ಕೈ ಕುದುರು	ಪಳಗು, ಪರಿಚಿತನಾಗು
ಕೈ ಕೆಲಸ	ಕಿಸೆ ಕತ್ತರಿಸುವುದು, ಕಳ್ಳತನ ಮಾಡುವುದು
ಕೈ ಕೆಸರಾಗು	ಶ್ರಮಪಡು, ದುಡಿ
ಕೈ ಕೊಡು	ಮೋಸ ಮಾಡು
ಕೈ ಖರ್ಚು	ಚಿಲ್ಲರೆ ಖರ್ಚು
ಕೈ ಗಂಟು	ಗುಪ್ತವಾಗಿ ಇರಿಸಿದ ಹಣ
ಕೈಗನ್ನಡಿ	ನಿಖರವಾದ ಮಾರ್ಗದರ್ಶಿ
ಕೈಗೂಡು	ನೆರವೇರು, ಸಿದ್ಧಿಸು
ಕೈಗೆ ಕೈ ಹತ್ತು	ಜಗಳವಾಗು
ಕೈಗೆಟುಕು	ವಶವಾಗು, ಕೈಗೆ ಸಿಗು
ಕೈಗೆ ಬಾಯಿಗೆ ಬರು	ಬಹಳ ಸುಸ್ತಾಗು
ಕೈಚಳಕ	ಚಾತುರ್ಯ, ಚಮತ್ಕಾರ
ಕೈಜಾರು	ಬೇರೆಯವರ ವಶವಾಗು
ಕೈ ತಪ್ಪು	ಬೇರೆಯವರ ವಶವಾಗು
ಕೈ ತೊಳೆದುಕೊಳ್ಳು	ಜವಾಬ್ದಾರಿ ಕಳೆದುಕೊ
ಕೈ ತೋರಿಸು	ಸಾಮರ್ಥ್ಯ ತೋರಿಸು
ಕೈನೋಡು	ಶಕ್ತಿಯನ್ನು ಪ್ರದರ್ಶಿಸು
ಕೈಬರಿದಾಗು	ಎಲ್ಲವನ್ನು ಕಳೆದುಕೊಳ್ಳು
ಕೈ ಬಿಗಿ ಹಿಡಿ	ಜಿಪುಣತನ ತೋರಿಸು
ಕೈ ಬಿಟ್ಟು ಹೋಗು	ದೂರವಾಗು
ಕೈಬಿಡು	ಸಹಾಯ ಮಾಡುವುದನ್ನು ಬಿಡು
ಕೈ ಬೆಚ್ಚಗೆ ಮಾಡು	ಲಂಚ ಕೊಡು
ಕೈಮೀರು	ನಿಯಂತ್ರಣ ತಪ್ಪು
ಕೈಲಾಗು	ಸಾಧ್ಯವಾಗು, ಸಮರ್ಥನಾಗು
ಕೈಲಾಸವಾಸ	ಮರಣಹೊಂದು
ಕೈ ಸಡಿಲ ಬಿಡು	ಧಾರಾಳವಾಗಿ ಖರ್ಚು ಮಾಡು
ಕೈಸೋಲು	ಬಡವನಾಗು, ಎಲ್ಲವನ್ನು ಕಳೆದುಕೊಳ್ಳು
ಕೈ ಹತ್ತು	ಸಿದ್ದಿಸು, ವಶವಾಗು
ಕೈ ಹಾಕು	ಆರಂಭಿಸು, ಪ್ರಾರಂಭ ಮಾಡು
ಕೈ ಹಿಡಿ	ಕಾಪಾಡು, ರಕ್ಷಣೆ ನೀಡು
ಕೊಂಬು ಬರು	ಅಹಂಕಾರ ಪಡು
ಕೊಕ್ಕೆ ಹಾಕು	ಅಡ್ಡಿ ಮಾಡು
ಕೊನೆಯುಸಿರೆಳೆ	ಮರಣಿಸು, ಸಾಯು
ಕೊರಳಿಗೆ ಬರು	ಪ್ರಾಣಾಪಾಯ ಬರು
ಕೊಳೆಹಾಕು	ತಡೆದು ನಿಲ್ಲಿಸು, ಮುಂದುವರಿಯದಂತೆ ತಡೆ
ಕೋಡು ಬರು	ಅಹಂಕಾರ ಬರು
ಕೋಲೆ ಬಸವ	ಹೇಳಿದ್ದಕ್ಕೆಲ್ಲ ತಲೆ ಅಲ್ಲಾಡಿಸುವವ
ಕೋಳಿ ಜಗಳ	ಕ್ಷುಲ್ಲಕ ಜಗಳ, ಹುಡುಗಾಟಿಕೆಯ ಜಗಳ
ಕೋಳಿ ನಿದ್ದೆ	ಸ್ವಲ್ಪ ನಿದ್ದೆ
ಕೋಳಿ ಸಂತಾನ	ಬಹಳ ಮಕ್ಕಳಿರುವುದು
ಕ್ಷೌರವಾಗು	ನಷ್ಟವಾಗು, ಕಳೆದುಹೋಗು
