ಅಂಕದ ಪರದೆ ಏಳು	ಪ್ರಾರಂಭವಾಗು, ಆರಂಭವಾಗು
ಬೈರಿಗೆ ಹಿಡಿ	ಬೋರು ಮಾಡು, ಬೇಸರ ಪಡಿಸು
ಬೊಂಬಡ ಬಜಾಯಿಸು	ಬೊಬ್ಬೆ ಹಾಕು, ಕೂಗಾಡು
ಬೊಗಳುವ ನಾಯಿ	ಒಂದೇ ಸವನೆ ದೂಷಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ
ಬೊಗಳೆ ಬಿಡು	ಸುಳ್ಳು ಹೇಳು
ಬೊಗಳೆ ಹೊಡೆ	ಹುಸಿಯಾಡು, ಸುಳ್ಳುಹೇಳು
ಬೊಟ್ಟು ಮುರಿ	ಶಾಪ ಹಾಕು
ಬೊಮ್ಮಡ ಹೊಡೆ	ಕೂಗಾಡು, ಬೊಬ್ಬೆ ಹಾಕು
ಬೋಡಾಗು	ಅಸಹಾಯಕನಾಗು, ನಿಸ್ಸತ್ವವಾಗು
ಬೋಳಿಸಿಕೊಳ್ಳು	ಕಳೆದುಕೊಳ್ಳು, ನಷ್ಟ ಮಾಡಿಕೊಳ್ಳು
ಬೋಳಿಸು	ನಾಶಪಡಿಸು, ಇಲ್ಲದಂತೆ ಮಾಡು
ಬ್ರಹ್ಮಗಂಟು	ಬಿಡಿಸಲಾಗದ ಗಂಟು
ಬ್ರಹ್ಮದಂಡ	ಪ್ರಬಲವಾದ ಅಸ್ತ್ರ
ಬ್ರಹ್ಮವಿದ್ಯೆ	ಕಷ್ಟಸಾಧ್ಯವಾದ ವಿದ್ಯೆ
ಬ್ರಹ್ಮಾಸ್ತ್ರ	ಅಂತಿಮ ಅಸ್ತ್ರ ಶಕ್ತಿಯುತವಾದ ಅಸ್ತ್ರ
ಭಗೀರಥ ಪ್ರಯತ್ನ	ಬಹಳ ಶ್ರಮದ ಪ್ರಯತ್ನ ಕಷ್ಟಕರ ಪ್ರಯತ್ನ
ಭಜನೆ ಮಾಡು	ವಟಗುಟ್ಟು
ಭಟ್ಟಿಯಿಳಿಸು	ನಕಲು ಮಾಡು, ಕಾಪಿ ಮಾಡು
ಭರತವಾಕ್ಯ	ಕೊನೆಯ ಮಾತು, ಕಡೆಯ ನುಡಿ
ಭಾರಹಾಕು	ಜವಾಬ್ದಾರಿಯನ್ನು ಹೊರಿಸು
ಭಾರ ಹೊರು	ಹೊಣೆಯನ್ನು ಹೊರು
ಭಾಷೆ ಕೊಡು	ಮಾತು ಕೊಡು, ವಾಗ್ದಾನ ಮಾಡು
ಭಾಷೆಗೆ ತಪ್ಪು	ಆಡಿದ ಮಾತನ್ನು ನಡೆಸದಿರು, ಕೊಟ್ಟ ಮಾತಿಗೆ ತಪ್ಪು
ಭಾಷೆ ಮುಟ್ಟಿಸು	ಕೊಟ್ಟಮಾತನ್ನು ಪೂರೈಸು, ವಾಗ್ದಾನವನ್ನು ನಡೆಸು
ಭಾಷೆ ಮುರಿ	ಭಾಷೆಗೆ ತಪ್ಪು ಕೊಟ್ಟಮಾತನ್ನು ಮರೆ
ಭೀಷ್ಮ ಪ್ರತಿಜ್ಞೆ	ಅಚಲವಾದ ಶಪಥ, ದೃಢವಾದ ಪಂಥ
ಭುಜ ಕುಣಿಸು	ಅಹಂಕಾರದಿಂದ ಮೆರೆ
ಭುಜ ಚಪ್ಪರಿಸು	ಪ್ರೋತ್ಸಾಹ ನೀಡು
ಭುಜ ತಟ್ಟಿಕೊಳ್ಳು	ಜಂಭ ಕೊಚ್ಚಿಕೊಳ್ಳು, ಆತ್ಮ ಪ್ರಶಂಸೆ ಮಾಡಿಕೊಳ್ಳು
ಭೂಗತ ಮಾಡು	ಹಾಳು ಮಾಡು, ನಾಶ ಮಾಡು
ಭೂತ ಬಡಿ	ದೆವ್ವ ಮೆಟ್ಟಿಕೊಳ್ಳು, ಹುಚ್ಚು ಹಿಡಿ
ಭೂಮಿಗಿಳಿದು ಹೋಗು	ಧೈರ್ಯಗುಂದು, ನಿರಾಶನಾಗು
ಭೂಮಿಗೆ ಭಾರ	ವ್ಯರ್ಥ ಜೀವಿ, ಅಪ್ರಯೋಜಕ
ಭೂಮಿ ತೂಕದ ಮನುಷ್ಯ	ಉದಾತ್ತ ವ್ಯಕ್ತಿ, ಅಪಾರವಾದ ಸಹನೆಯುಳ್ಳವನು
ಭೇದಿಗೆ ಕೊಡು	ಭಯವನ್ನುಂಟು ಮಾಡು, ಗಾಬರಿಪಡಿಸು
ಭೈರವಮೂರ್ತಿ	ಕೋಪಾವೇಶದ ವ್ಯಕ್ತಿ
ಮಂಕಾಗು	ಕಳೆಗುಂದು, ಬೇಸರ ಹೊಂದು
ಮಂಕುಕವಿ	ಬೇಸರಿಸು, ಕಳೆಗುಂದು
ಮಂಕುದಿನ್ನೆ	ಪೆದ್ವ ಮೂರ್ಖ
ಮಂಕುಬೂದಿ ಎರಚು	ಮೋಸಗೊಳಿಸು, ವಂಚಿಸು
ಮಂಗಮಾಯ	ಒಮ್ಮಿಂದೊಮ್ಮೆಲೆ ಕಾಣದಂತಾಗುವುದು
ಮಂಗಳ ಹಾಡು	ಮುಕ್ತಾಯ ಮಾಡು, ಸಮಾಪ್ತಿಗೊಳಿಸು
ಮಂಡೆ ಬೀಳು	ಸಾಯು, ಮರಣಿಸು
ಮಕ್ಕಳಾಟ	ಸುಲಭ ಕೆಲಸ, ಸರಳ ಕಾರ್ಯ
ಮಗ್ಗನೇಯು	ಚಾಡಿ ಹೇಳು, ಹಚ್ಚಿಕೊಡು
ಮಟ್ಟ ಹಾಕು	ಹಾಳು ಮಾಡು, ನಾಶಮಾಡು, ಮುಗಿಸು
ಮಡಿಲಲ್ಲಿ ಹಾಕು	ವಶಕ್ಕೆ ನೀಡು
ಮಡ್ಡಿ ಸಾಂಬ್ರಾಣಿ	ಬುದ್ಧಿಯಿಲ್ಲದವನು, ಮೂರ್ಖ
ಮಣೆ ಹಾಕು	ಮರ್ಯಾದೆ ಕೊಡು, ಗೌರವ ನೀಡು
ಮಣೆ ಹಿಡಿ	ಸೇವೆ ಮಾಡು, ಚಾಕರಿ ಮಾಡು
ಮಣ್ಣಾಗು	ಸಾಯು, ಮರಣಿಸು, ಕೇಡಾಗು
ಮಣ್ಣಿಗೆ ಹೋಗು	(ಸತ್ತವರ) ಸಂಸ್ಕಾರಕ್ಕೆ ಹೋಗು
ಮಣ್ಣುಗೂಡು	ನಾಶವಾಗು, ಹಾಳಾಗು
ಮಣ್ಣುತಿನ್ನು	ಹಿಂಸೆ ಅನುಭವಿಸು, ಕಷ್ಟಪಡು
ಮಣ್ಣು ತೂರು	ಶಪಿಸು, ಬೆಯ್ಯು,
ಮಣ್ಣು ಪಾಲಾಗು	ನಾಶಹೊಂದು, ಹಾಳಾಗು
ಮಣ್ಣು ಪಾಲು ಮಾಡು	ನಾಶಮಾಡು, ಹಾಳು ಮಾಡು
ಮಣ್ಣು ಮಾಡು	ಸಂಸ್ಕಾರ ಮಾಡು, ಸಮಾಧಿ ಮಾಡು, ಹೂಳು
ಮಣ್ಣು ಮುಕ್ಕಿಸು	ಸೋಲಿಸು, ಅಪಜಯಗೊಳಿಸು, ಪರಾಭವಗೊಳಿಸು
ಮಣ್ಣು ಮುಕ್ಕು	ಸೋಲು, ಪರಾಭವಹೊಂದು, ಕಷ್ಟಪಡು
ಮದುವೆ	(ವ್ಯಂಗ್ಯಾರ್ಥದಲ್ಲಿ) ಸರಿಯಾದ ಶಿಕ್ಷೆ ತಕ್ಕ ಶಾಸ್ತಿ ಮಾಡುವುದು
ಮಧ್ಯಾಹ್ನ ಮೀರು	ವಯಸ್ಸಾಗು, ಪ್ರಾಯವಾಗು
ಮನದಲ್ಲಿ ಮಂಡಿಗೆ ತಿನ್ನುವುದು	ಕಾಲ್ಪನಿಕ ಜೀವನ, ಅವಾಸ್ತವ ಸಂಗತಿಯನ್ನು ಚಿಂತಿಸುವುದು
ಮನಸ್ಸಿಗೆ ತೋರು	ಅನಿಸು, ಹೊಳೆ, ಅರಿವಾಗು
ಮನಸ್ಸಿಗೆ ಹಚ್ಚಿಕೊಳ್ಳು	ಚಿಂತಿಸು, ಬಹಳ ಚಿಂತೆಗೊಳಗಾಗು
ಮನಸ್ಸಿಗೆ ಹಿಡಿ	ಇಷ್ಟವಾಗು, ಮೆಚ್ಚು
ಮನಸ್ಸು ಕಲಕು	ಕೋಭೆಗೊಳ್ಳು, ಮನಸ್ಸಿಗೆ ತೊಂದರೆಯಾಗು, ಕಿರಿಕಿರಿಯಾಗು
ಮನಸ್ಸನ್ನು ಕಲ್ಲು ಮಾಡಿಕೊ	ಧೈರ್ಯ ತಾಳು, ಎದೆಗುಂದದಿರು
ಮನಸ್ಸು ಕೊರೆ	ಚಿಂತಿಸುವಂತೆ ಮಾಡು
ಮನಸ್ಸು ಗಟ್ಟಿ ಮಾಡು	ನಿಶ್ಚಿತವಾದ ಭಾವನೆಯನ್ನು ಹೊಂದು
ಮನಸ್ಸು ಬದಲಾಯಿಸು	ಬೇರೆ ಅಭಿಪ್ರಾಯವನ್ನು ಹೊಂದು
ಮನಸ್ಸು ಮಾಡು	ನಿರ್ಧಾರ ತೆಗೆದುಕೊಳ್ಳು
ಮನಸ್ಸು ಮುರಿ	ದ್ವೇಷವುಂಟಾಗು
ಮನಸ್ಸು ಸಣ್ಣಗಾಗು	ನೊಂದುಕೊಳ್ಳು, ನೋವನ್ನು ಅನುಭವಿಸು, ಚಿಂತೆಗೊಳಗಾಗು
ಮನಸ್ಸು ಹಣ್ಣಾಗು	ಪಳಗು, ಅನುಭವಸ್ತನಾಗು, ಅನುಭವ ಹೊಂದು
ಮನೆಗೆ ಕಳುಹಿಸು	ಅಮಾನತುಗೊಳಿಸು, ವಜಾಮಾಡು
ಮನೆತೊಳೆ	ಹಾಳುಮಾಡು, ನಾಶಮಾಡು
ಮನೆ ಪಾಲಾಗು	ಬೇರೆ ಬೇರೆಯಾಗು, ಪ್ರತ್ಯೇಕ ಸಂಸಾರ ಹೂಡುವುದು
ಮನೆ ಮಾಡು	ಮನಸ್ಸಿನಲ್ಲಿ ನೆಲೆನಿಲ್ಲು, ಬಿಡಾರ ಹೂಡು, ನೆಲೆಸು
ಮನೆ ಮಾತಾಗು	ಎಲ್ಲರಿಗೂ ತಿಳಿ, ಗೊತ್ತಾಗು
ಮನೆಮುರಿ	ನಾಶಮಾಡು, ಹಾಳು ಮಾಡು
ಮನೆಮುಳುಗಿಸು	ನಾಶಮಾಡು, ಹಾಳು ಮಾಡು
ಮನೆಯನ್ನು ನಿಲ್ಲಿಸು	ಉದ್ಧಾರ ಮಾಡು
ಮನೆಹಾಳು ವಿದ್ಯೆ	ಮನೆಯನ್ನು ನಾಶಮಾಡುವ ವಿದ್ಯೆ
ಮನೆಹೊಕ್ಕ ಮಾರಿ	ಅಪಾಯಕಾರಿ, ಅಹಿತಕಾರಿ
ಮರಳುಸೇತುವೆ	ಅಸ್ಥಿರತೆ, ಅಶಾಶ್ವತ
ಮರ್ಜಿಹಿಡಿ	ಅನುಗ್ರಹವನ್ನು ಸಂಪಾದಿಸು
ಮಲತಾಯಿ ಧೋರಣೆ	ಒಬ್ಬರಿಗೊಂದು ಇನ್ನೊಬ್ಬರಿಗೊಂದು ಮಾಡುವುದು, ಪಕ್ಷಪಾತ ಮಾಡುವುದು
ಮಸಿಬಳಿ	ಕಲಂಕವನ್ನುಂಟು ಮಾಡು
ಮಸಿಯಿಡು	ಕಳಂಕಗೊಳಿಸು
ಮಸ್ಕಾಹೊಡೆ	ಪೂಸಿ ಮಾಡು, ಪುಸಲಾಯಿಸು
ಮಾತಿಗೆ ಮಾತು ಬೆಳೆ	ಜಗಳವಾಗು, ಕಲಹವುಂಟಾಗು
ಮಾತಿನ ಮಲ್ಲ	ಅತಿಯಾಗಿ ಮಾತನಾಡುವವನು, ಹರಟೆಕೋರ
ಮಾತುಕೊಡು	ವಚನ ಕೊಡು, ವಾಗ್ದಾನ ಮಾಡು
ಮಾತು ತಪ್ಪು	ಕೊಟ್ಟಮಾತನ್ನು ಉಳಿಸಿಕೊಳ್ಳದಿರು
ಮಾತು ನಡೆ	ಪ್ರಭಾವ ಬೀರು
ಮಾತುಹಾರಿಸು	ವಿಷಯವನ್ನು ಬದಲಾಯಿಸಿ ಮಾತನಾಡು
ಮಾನಕಾಯು	ಮರ್ಯಾದೆಯನ್ನು ಉಳಿಸು, ಗೌರವ ಉಳಿಸು
ಮಾರಿಕಣ್ಣು	ಕ್ರೂರ ದೃಷ್ಟಿ ಕೆಟ್ಟ ದೃಷ್ಟಿ
ಮಾರ್ಜಾಲ ಸಂನ್ಯಾಸಿ	ಕಪಟಿ, ಮೋಸಗಾರ, ವಂಚಕ
ಮೀನಾಮೇಷ ಎಣಿಸು	ಖಚಿತ ನಿರ್ಧಾರಕ್ಕೆ ಬರದಿರು
ಮೀರ್ ಸಾಧಕ್	ವಿಶ್ವಾಸಘಾತಕ, ಮೋಸಗಾರ. ನಂಬಿಕೆದ್ರೋಹಿ, ವಂಚಕ
ಮೀಸೆ ತಿರುವು	ಅಹಂಕಾರ ಪಡು, ಕೊಚ್ಚಿಕೊಳ್ಳು, ಜಂಬಪಡು
ಮೀಸೆ ಮಣ್ಣಾಗು	ಅವಮಾನವಾಗು, ಅಪಮಾನ ಹೊಂದು
ಮೀಸೆ ಹೊರು	ಗಂಡಸುತನ ಹೊಂದು, ಪೌರುಷ
ಮುಂಡ ಮೋಚು	ಹಾಳಾಗು, ನಾಶವಾಗು
ಮುಂದಕ್ಕೆ ಬರು	ಉನ್ನತಿ ಹೊಂದು, ಏಳಿಗೆ ಹೊಂದು
ಮುಕ್ಕು ಮಾಡು	ನಾಶಮಾಡು, ಹಾಳುಮಾಡು
ಮುಖ ಅರಳು	ಖುಷಿಯಾಗು, ಸಂತೋಷವಾಗು
ಮುಖ ಊರಗಲ ಮಾಡು	ಅತಿಯಾದ ಆನಂದ ಹೊಂದು, ಬಹಳ ಸಂತೋಷವಾಗು
ಮುಖ ಕಪ್ಪಾಗು	ಅವಮಾನವಾಗು, ಕಳೆಗುಂದು
ಮುಖ ಕಿವಿಚು	ಅತೃಪ್ತಿಯನ್ನು ತೋರಿಸು, ಮುಖ ಸೊಟ್ಟಗೆ ಮಾಡು
ಮುಖ ಕೆಂಪಾಗು	ನಾಚು, ಸಂಕೋಚಪಡು
ಮುಖ ಕೆಳಗೆ ಹಾಕು	ತಲೆತಗ್ಗಸು, ಅವಮಾನ ಹೊಂದು
ಮುಖ ಕೊಡು	ಎದುರಿಸು, ನೇರವಾಗಿ ಮಾತನಾಡು
ಮುಖಕ್ಕೆ ಮಂಗಳಾರತಿ ಎತ್ತು	ಅವಮಾನ ಮಾಡು, ಛೀಮಾರಿ ಹಾಕು
ಮುಖಕ್ಕೆ ಹಿಡಿ	ಮಾಡಿದ ತಪ್ಪನ್ನು ಎತ್ತಿ ತೋರಿಸು
ಮುಖ ಗಂಟು ಹಾಕಿಕೊಳ್ಳು	ಸಿಡುಕು, ಮುಖ ಬಿಗಿದುಕೊಳ್ಳು, ಸಿಟ್ಟಾಗು
ಮುಖ ಚಿಕ್ಕದಾಗು	ಪೆಚ್ಚಾಗು, ಸಂಕುಚಿತನಾಗು
ಮುಖ ತಪ್ಪಿಸಿಕೊಳ್ಳು	ಕಣ್ಣಿಗೆ ಬೀಳದಂತೆ ಇರು
ಮುಖ ತಿವಿ	ತಿರಸ್ಕರಿಸು, ಅವಮಾನ ಮಾಡು
ಮುಖದ ಮೇಲೆಸೆ	ಎದುರೆದುರು ಖಂಡಿಸು, ನಿಂದಿಸು
ಮುಖ ನೋಡಿ ಮಣೆ ಹಾಕು	ಅಂತಸ್ತನ್ನು ನೋಡಿ ಗೌರವ ನೀಡು
ಮುಖ ಬಿಳಿಚಿಕೊಳ್ಳು	ಭಯಪಡು, ಸಂಕೋಚದಿಂದ ಕೂಡು
ಮುಖಭಂಗವಾಗು	ಅವಮಾನ ಹೊಂದು
ಮುಖ ಮುರಿ	ಅವಮಾನಗೊಳಿಸು
ಮುಖ ರಂಗೇರು	ನಾಚಿಕೊಳ್ಳು, ಸಂಕೋಚ ಹೊಂದು
ಮುಖ ಸಣ್ಣಗಾಗು	ಅವಮಾನವಾಗು
ಮುಖಸ್ತುತಿ	ಎದುರಿನಲ್ಲಿ ಹೊಗಳುವುದು
ಮುಖೇಡಿ	ಮುಖಕೊಟ್ಟು ಮಾತನಾಡದವನು
ಮುಗಿಲಿಗೇರಿಸು	ಅತಿಯಾಗಿ ಹೊಗಳು
ಮುಗಲ ಮಲ್ಲಿಗೆ	ದುರ್ಲಬವಾದುದು, ಕೈಗೆ ಸಿಗದ ವಸ್ತು
ಮುಗಿಲು ಮುಟ್ಟು	ಅತಿಯಾಗು, ಮೇಲೇರು
ಮುಟ್ಟಿದರೆ ಮುನಿ	ಸಂಕುಚಿತ ಪ್ರವೃತ್ತಿಯವನು
ಮುಟ್ಟಿದ್ದೆಲ್ಲ ಚಿನ್ನವಾಗು	ಒಳಿತಾಗು, ಅದೃಷ್ಟ ಬರು
ಮುಟ್ಟುಗೋಲು ಹಾಕು	ವಶಪಡಿಸಿಕೊಳ್ಳು, ಸ್ವಾಧೀನಕ್ಕ ತೆಗೆದುಕೊಳ್ಳು
ಮುದಿಗೊಡ್ಡು	ಹಳೆಯ ಕಂದಾಚಾರದವನು
ಮುದ್ರೆ ಒತ್ತು	ಒಪ್ಪಿಗೆ ಕೊಡು, ಸಹಮತಿ ನೀಡು, ಸಮ್ಮತಿಸು
ಮುಯ್ಯಿಗೆ ಮುಯ್ಯ	ಸೇಡಿಗೆ ಪ್ರತಿಸೇಡು, ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳು
ಮುರಿದು ಬೀಳು	ನೆರವೇರದಿರು, ಪೂರೈಸದಿರುವುದು
ಮುರುಟಿ ಹೋಗು	ನಾಶವಾಗು, ಹಾಳಾಗು
ಮುಳುಗಿಸು	ವಂಚಿಸು, ಮೋಸಗೊಳಿಸು, ಹಾಳುಮಾಡು
ಮುಳ್ಳಾಗು	ಕಂಟಕಪ್ರಾಯವಾಗು, ತೊಂದರೆ ನೀಡು, ಅಡ್ಡಿಯಾಗು
ಮೂಗಿಗೆ ತುಪ್ಪ ಹಚ್ಚು	ಆಸೆಯನ್ನು ತೋರಿಸು, ಬಯಕೆ ಹುಟ್ಟಿಸು
ಮೂಗಿನ ಮೇಲೆ ಬೆರಳಿಡು	ಆಶ್ಚರ್ಯಹೊಂದು, ವಿಸ್ಮಯಹೊಂದು
ಮೂಗು ಕೆಳಗಾಗು	ಪ್ರತಿಷ್ಠೆ ಕಡಿಮೆಯಾಗು, ಅಗೌರವ ಹೊಂದು
ಮೂಗು ತೂರಿಸು	ಇನ್ನೊಬ್ಬರ ವಿಷಯದಲ್ಲಿ ತಲೆಹಾಕು,ಮಧ್ಯೆ ಪ್ರವೇಶಿಸು
ಮೂಗು ಮೇಲಾಗು	ಗೌರವ ಹೆಚ್ಚಾಗು, ಪ್ರತಿಷ್ಠೆ ಬೆಳೆ
ಮೂಗೆಳೆ	ನಿರುತ್ಸಾಹ ತೋರು
ಮೂರಾಬಟ್ಟೆಯಾಗು	ಹಾಳಾಗು, ನಾಶವಾಗು
ಮೂರುಕಾಸಿನವ	ಮರ್ಯಾದೆಗೆಟ್ಟವನು, ಗೌರವ ಕಳೆದುಕೊಂಡವನು
ಮೂರು ನಾಮ ಹಾಕು	ವಂಚಿಸು, ಮೋಸಮಾಡು, ನಂಬಿಸು ಮೋಸಗೊಳಿಸು
ಮೂಲೆಗುಂಪಾಗು	ಅನುಪಯುಕ್ತವಾಗು, ಕೆಲಸಕ್ಕೆ ಬಾರದಿರು, ಅಧಿಕಾರವನ್ನು ಕಳೆದುಕೊಳ್ಳು
ಮೂಲೆಗೆ ನೂಕು	ಬೆಲೆನೀಡದಿರು, ನಿರ್ಲಕ್ಷಿಸು
ಮೂಸಿನೋಡು	ವಿಚಾರಿಸಿಕೊಳ್ಳು, ಗಮನಿಸು
ಮೂಳೆ ಚಕ್ಕಳ	ಬಹಳ ಬಡವಾದ, ಕೃಶವಾದ
ಮೆಟ್ಟಿಲು ತುಳಿ	ಪ್ರವೇಶಿಸು, ಸೇರು, ಒಳಗೆ ಹೋಗು
ಮೆಟ್ಟಿನಿಲ್ಲು	ನಿಯಂತ್ರಿಸು, ಹತಿತಿತುಳಿ, ಮೀರಿ ನಿಲ್ಲು
ಮೆಟ್ಟಿ ಬೀಳು	ಬೆಚ್ಚಿಬೀಳು, ಭಯಪಡು
ಮೆಲುಕಾಡಿಸು	(ಹಿಂದಿನ ವಿಚಾರಗಳನ್ನು ನೆನಪಿಸಿಕೊಳ್ಳು
ಮೇಲಕ್ಕೆ ತರು	ಅಭಿವೃದ್ಧಿಗೊಳಿಸು
ಮೇಲುಗೈ	ಜಯ, ವಿಜಯ, ಗೆಲುವು
ಮೇಲು ಸಂಪಾದನೆ	ಲಂಚ, ಗಿಂಬಳ, ಹೆಚ್ಚಿನ ಆದಾಯ
ಮೇಲೆ ಬೀಳು	ಇಷ್ಟಪಡು, ತಾನಾಗಿಯೇ ಒಲಿದು ಬರು
ಮೇಲ್ಪಂಕ್ತಿ ಹಾಕು	ಮಾದರಿಯಾಗು, ಆದರ್ಶವಾಗು
ಮೈಕೆಡು	ಆರೋಗ್ಯದಲ್ಲಿ ಏರುಪೇರಾಗು
ಮೈಗಳ್ಳ	ಸೋಮಾರಿ, ಕೆಲಸಗಳ್ಳ
ಮೈಗೂಡಿಸು	ತನ್ನದನ್ನಾಗಿ ಮಾಡಿಕೊಳ್ಳು
ಮೈಗೆ ಹತ್ತು	ರಕ್ತಗತವಾಗು, ಹೊಂದಿಕೊಳ್ಳು
ಮೈಚಳಿ ಬಿಡು	ಭಯಬಿಡು, ಸಂಕೋಚವನ್ನು ಹೋಗಲಾಡಿಸು
ಮೈ ಜುಂ ಅನ್ನು	ರೋಮಾಂಚನವಾಗು
ಮೈ ತಣ್ಣಗಾಗು	ಸತ್ತು ಹೋಗು, ಮರಣಹೊಂದು
ಮೈ ತಿಳಿ	ಎಚ್ಚರಹೊಂದು
ಮೈತುಂಬಿಕೊಳ್ಳು	ದಷ್ಟಪುಷ್ಟವಾಗು
ಮೈನೆರೆ	ದೊಡ್ಡವಳಾಗು, ಪುಷ್ಪವತಿಯಾಗು, ಋತುಮತಿಯಾಗು
ಮೈ ಬಗ್ಗಿಸು	ಕಷ್ಟಪಡು, ಶ್ರಮಪಡು
ಮೈ ಬಿಸಿಯಾಗು	ಜ್ವರ ಬರು, ಮತ್ತೇರು, ನಶೆ ಬರು
ಮೈ ಬೆಂಕಿಯಾಗು	ಕೋಪಬರು, ಬಹಳ ಸಿಟ್ಟುಬರು
ಮೈಮರೆ	ಪರವಶವಾಗು, ಅನ್ಯಮನಸ್ಕನಾಗು
ಮೈ ಮುರಿದು ಕೆಲಸ ಮಾಡು	ಶ್ರಮವಹಿಸಿ ಕೆಲಸ ಮಾಡು, ಕಷ್ಟಪಟ್ಟು ದುಡಿ
ಮೈಮೆತತಿಗೆ ಮಾಡು	ಪಾಠಕಲಿಸು, ಚೆನ್ನಾಗಿ ಹೊಡೆ, ಥಳಿಸು
ಮೈ ಮೇಲೆ ಬರು	ದೆವ್ವ ಮೆಟ್ಟು ಭೂತ ಹಿಡಿ, ನಷ್ಟವಾಗು
ಮೈ ಮೇಲೆ ಬೀಳು	ಜವಾಬ್ದಾರಿ ಬೀಳು
ಮೈಮೇಲೆ ಹಾಕಿಕೊಳ್ಳು	ಜವಾಬ್ದಾರಿ ವಹಿಸು, ವಿರೋಧಕಟ್ಟಿಕೊಳ್ಳು
ಮೈ ಮೇಲೆ ಹಾಕು	ಜವಾಬ್ದಾರಿ ಹೊರಿಸು
ಮೈಯಿಕ್ಕು	ನಮಸ್ಕರಿಸು, ವಂದಿಸು
ಮೈಯೆಲ್ಲ ಕಣ್ಣಾಗು	ಅತಿಯಾದ ಜಾಗ್ರತೆ ವಹಿಸು, ಜಾಗರೂಕನಾಗಿರು
ಮೈಯೆಲ್ಲ ಕಿವಿಯಾಗು	ಜಾಗ್ರತೆ ವಹಿಸು, ಗಮನನೀಡು
ಮೈಹಿಡಿ	ದಷ್ಟಪುಷ್ಟವಾಗು
ಮೊದ್ದು ಮಣಿ	ಪೆದ್ದ ದಡ್ಡ
ಮೊಲದ ಕೊಂಬು	ಇಲ್ಲದಿರುವಿಕೆ, ಅಭಾವ, ಅಪರೂಪ
ಮೊಸಳೆ ಕಣ್ಣೀರು	ಸುಳ್ಳು ಕಣ್ಣೀರು, ಕಪಟ
ಮೊಳೆ ಹೊಡೆ	ಬೇಸರಗೊಳಿಸು
ಮೋಕ್ಷಆಗು	ಶಿಕ್ಷೆಯಾಗು, ಹೊಡೆತ ಬೀಳು
ಮೋಡಕವಿ	ಮಂಕಾಗು, ಲವಲವಿಕೆಯಿಲ್ಲದಿರು
ಮೋರೆ ಕೆಡಿಸು	ಅವಮಾನಗೊಳಿಸು
ಮೋರೆ ತಪ್ಪಿಸು	ಮರೆಯಾಗು, ಮುಖ ತಪ್ಪಿಸು
ಯಕ್ಷಪ್ರಶ್ನೆ	ಬಿಡಿಸಲಾಗದ ಪ್ರಶ್ನೆ, ಕಠಿಣ ಪ್ರಶ್ನೆ
ಯಜ್ಞಪಶು	ಮೋಸಕ್ಕೆ ಬಲಿಯಾಗುವ ವ್ಯಕ್ತಿ
ಯಮಭಾರ	ಅತಿಯಾದ ಭಾರವಿರುವ ವಸ್ತು
ಯಮಯಾತನೆ	ಅತಿಯಾದ ಹಿಂಸೆ, ತೀವ್ರವಾದ ಕಷ್ಟ
