ಅಂಕದ ಪರದೆ ಏಳು	ಪ್ರಾರಂಭವಾಗು, ಆರಂಭವಾಗು
ರಂಗಾಗು	ಉತ್ಸಾಹ ಹೊಂದು, ಸಂತೋಷಪಡು
ರಂಗು ಮಾಡು	ಒಲಿಸಿಕೊಳ್ಳು
ರಂಗೇರು	ಕಳೆಗಟ್ಟು ನಾಚಿಕೆಯಿಂದ ಕೆನ್ನೆ ಕೆಂಪಾಗು
ರಂಗೋಲಿ ಕೆಳಗೆ ತೂರು	ಅತಿಯಾದ ಬುದ್ದಿವಂತಿಕೆ ತೋರು
ರಕ್ತಕುಡಿ	ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳು
ರಕ್ತಕುದಿ	ಕೋಪಗೊಳ್ಳು, ಸಿಟ್ಟಾಗು, ರೌದ್ರವಾಗು
ರಕ್ತಗತವಾಗು	ಬಹಳ ಕಾಲದಿಂದ ಇರು
ರಕ್ತದ ಕಾಲುವೆ ಹರಿಸು	ಬಹಳ ಮಂದಿಯನ್ನು ಕೊಲ್ಲು
ರಕ್ತ ಬಸಿ	ಬಹಳ ಕಷ್ಟಪಡು
ರಕ್ತಸಂಬಂಧ	ಸೋದರಿಕೆ ಸಂಬಂಧ
ರಕ್ತ ಹಂಚಿಕೊಂಡವರು	ಒಂದೇ ತಾಯಿಯ ಮಕ್ಕಳು, ಸಹೋದರರು
ರಕ್ತ ಹೀರು	ತೊಂದರೆ ಕೊಡು, ಶೋಷಿಸು
ರಣಹದ್ದು	ಹಿಂಸಿಸುವವ, ಕಿತ್ತುತಿನ್ನುವವ
ರಾಗ ಎಳೆ	ರೋಧಿಸು, ದುಃಖಿಸು
ರಾಗ ಬದಲಾಯಿಸು	ಮಾತಿನ ರೀತಿಯನ್ನು ಬದಲಾಯಿಸು
ರಾಗಿ ಬೀಸು	ಕಷ್ಟಪಡು, ಶ್ರಮಪಡು, ಅನುಭವಪಡೆ, ಪ್ರಕ್ವಗೊಳ್ಳು
ರಾಜಕಾರ್ಯ	ದೊಡ್ಡ ಕಾರ್ಯ, ಮುಖ್ಯವಾದ ಕೆಲಸ
ರಾಜ ಮರ್ಯಾದೆ	ಗೌರವ, ಅತಿಯಾದ ಮನ್ನಣೆ
ರಾಜ್ಯಭಾರ	ಅಧಿಕಾರ, ಕಾರುಭಾರು
ರಾಮಬಾಣ	ಸರಿಯಾದ ಮದ್ದು ಸರಿಯಾದ ಉಪಾಯ
ರಾಮರಾಜ್ಯ	ಸುಖೀರಾಜ್ಯ
ರಾವಣ ರಾಜ್ಯ	ಕೆಟ್ಟ ಅಧಿಕಾರ, ಹಿಂಸಾ ಪ್ರವೃತ್ತಿ
ರಾವಣ ಸಂನ್ಯಾಸಿ	ಮೋಸಗಾರ, ವಂಚಕ, ಕಪಟಿ
ರುಚಿಸು	ಇಷ್ಟವಾಗು, ಮನಸ್ಸಿಗೆ ಬರು
ರೆಕ್ಕೆ ಕತ್ತರಿಸು	ಪ್ರಭಾವ ಕಳೆ, ಗೌರವ ಇಲ್ಲದಂತಾಗು
ರೆಕ್ಕೆ ಪುಕ್ಕ ಕಳೆದುಕೊಳ್ಳು	ಸಾಮರ್ಥ್ಯಕಳೆದುಕೊಳ್ಳು, ನಿರುಪಾಯನಾಗು
ರೆಕ್ಕ ಮೂಡು	ಉತ್ಸಾಹ ಹೆಚ್ಚಾಗು
ರೆಪ್ಪೆ ಭಾರವಾಗು	ನಿದ್ದೆ ಬರು, ತೂಕಡಿಕೆ ಬರು
ರೆಪ್ಪೆ ಹೊಡೆ	ಸಂಕೇತ ಮಾಡು, ಕಣ್ಣು ಸನ್ನೆ ಮಾಡು
ರೈಲು ಹತ್ತಿಸು	ಪೂಸಿ ಮಾಡು, ಪುಸಲಾಯಿಸು
ಲಂಕಿಣಿ	ಬಹಳ ಕೆಟ್ಟ ಹೆಂಗಸು, ಬಜಾರಿ
ಲಂಗು ಲಗಾಮು	ನಿರ್ಬಂಧ, ಪಟ್ಟು
ಲಂಗೋಟಿ ಸ್ನೇಹಿತ	ಬಾಲ್ಯಸ್ನೇಹಿತ, ಬಾಲ್ಯಮಿತ್ರ
ಲಕ್ಷ್ಮಣ ರೇಖೆ	ಮೀರಬಾರದ ಕಟ್ಟಳೆ
ಲಕ್ಷ್ಮೀಪುತ್ರ	ಶ್ರೀಮಂತ, ಹುಟ್ಟಿನಿಂದಲೇ ಸಿರಿವಂತಿಕೆಯಲ್ಲಿ ಬೆಳೆದವನು
ಲಗಾಮು ಹಾಕು	ಹತೋಟಿಯಲ್ಲಿಡು, ನಿರ್ಬಂಧಿಸು
ಲಹರಿ ಬರು	ಉತ್ಸಾಹ ಬರು, ಆನಂದವುಂಟಾಗು
ಲಾಗ ಹಾಕು	ಅತಿಯಾದ ಪ್ರಯತ್ನ ಪಡು, ನಪಾಸಾಗು
ಲಾಗ ಹೊಡೆ	ಬಹಳ ಪ್ರಯತ್ನ ಮಾಡು, ಸಾಯು, ಮರಣ ಹೊಂದು
ಲಾಟರಿ ಹೊಡೆ	ಬವಣೆ ಪಡು, ಕಷ್ಟದಲ್ಲಿರು
ಲಿಂಗೈಕ್ಯ	ಸತ್ತು ಹೋಗು, ಮರಣ ಹೊಂದು, ನಿಧನ ಹೊಂದು
ಲೀಲಾಜಾಲ	ಸುಲಭ, ನಿರಾಯಾಸ
ಲೆಕ್ಕಕ್ಕೆ ಬರು	ಗಣನೆಗೆ ಬರು, ಗಮನಕ್ಕೆ ಬರು
ಲೆಕ್ಕ ಹಾಕು	ಯೋಚಿಸು, ಊಹಿಸು
ಲೆಕ್ಕಾಚಾರ ಮಾಡು	ಪರಿಶೀಲಿಸು, ವಿಚಾರಿಸು
ಲೆಕ್ಕಾಚಾರ ಹಾಕು	ಆಲೋಚಿಸು, ಯೋಚಿಸು
ಲೇಪ ಹಾಕು	ಸಂತೈಸು, ಸಮಾಧಾನ ಮಾಡು
ಲೇವಡಿಯೆಬ್ಬಿಸು	ಗೇಲಿ ಮಾಡು, ಅಣಕಿಸು
ಲೋಕ ಕಂಡಿರುವವ	ಅನುಭವಿ, ಪಳಗಿದವ
ವಕ್ರಬುದ್ಧಿ	ಕುಟಿಲ ಸ್ವಭಾವ, ಕೆಟ್ಟ ಬುದ್ಧಿ
ವಕ್ರಿಸು	ಇಷ್ಟವಿಲ್ಲದಿದ್ದರೂ ಬರು, ಬೇಡವಾದ ಅತಿಥಿ
ವಜ್ರಕಾಯ	ದೃಢಕಾಯ, ಗಟ್ಟಿಮುಟ್ಟಾದ ವ್ಯಕಿತಿ
ವಜ್ರಮುಷ್ಟಿ	ಬಲವಾದ ಹಿಡಿತ
ವಜ್ರಾಘಾತ	ಒಮ್ಮಿಂದೊಮ್ಮೆಲೆ ಉಂಟಾಗುವ ಆಘಾತ
ವರಸೆ ತೆಗೆ	ನಿಜವಾದ ಸ್ವಭಾವವನ್ನು ವ್ಯಕ್ತಪಡಿಸು
ವಾಚಾಮಗೋಚರ	ಬಾಯಿಗೆ ಬಂದಹಾಗೆ, ಮನಸ್ಸಿಗೆ ಬಂದ ಹಾಗೆ (ಬಯ್ಯುವುದು)
ವಾಮನ ಮೂರ್ತಿ	ಕುಳ್ಳಗಿನ ವ್ಯಕ್ತಿ
ವಾಸನೆ ಹಿಡಿ	ವಿಷಯವನ್ನು ಅರಿ, ಜಾಡು ತಿಳಿ
ವಿಕೋಪಕ್ಕ ಹೋಗು	ಕೈ ಮೀರು, ಪರಿಸ್ಥಿತಿ ಹತೋಟಿ ತಪ್ಪು
ವಿಕ್ರಮ ಸಾಧಿಸು	ದಾಖಲೆಗಳನ್ನು ಮೀರು, ಸಾಧಿಸು
ವಿಚಾರಿಸಿಕೊಳ್ಳು	ಆಕ್ಷೇಪಿಸು, ತರಾಟೆಗೆ ತೆಗೆದುಕೊಳ್ಳು
ವಿಶ್ವಪ್ರಯತ್ನ ಮಾಡು	ಬಹಳಷ್ಟು ಶ್ರಮಪಡು, ತುಂಬ ಯತ್ನಿಸು
ವಿಶ್ವರೂಪ ತಾಳು	ನಾನಾ ತರಹದ ವೇಷ ಕಟ್ಟು
ವಿಷಕಕ್ಕು	ಅಸೂಯೆಪಡು, ಕರುಬು, ಹೊಟ್ಟೆಕಿಚ್ಚುಪಡು
ವೀಳ್ಯಕೊಡು	ಆಜ್ಞೆಮಾಡು, ಅಣತಿ ನೀಡು, ಆಹ್ವಾನಿಸು, ಗೌರವಯುತವಾಗಿ ಬರಮಾಡಿಕೊಳ್ಳು
ವೇದವಾಕ್ಯ	ಮೀರಬಾರದ ಮಾತು, ಪ್ರಮಾಣವಾದ ನುಡಿ
ಶಂಖ ಬಾರಿಸು	ಜೋರಾಗಿ ಕೂಗಾಡು, ಬೊಬ್ಬೆಯಿಡು,
ಶಂಖವಾದ್ಯ ಮಾಡು	ಜೋರಾಗಿ ಬಾಯಿ ಬಡಿದುಕೊಂಡು ಅಳು, ಬೊಬ್ಬೆಯಿಡು
ಶಂಖ ಹೊಡೆ	ಕೂಗಾಡು, ಬಾಯಿ ಬಡಿದುಕೊಳ್ಳು
ಶಕುನಿ	ಚಾಡಿಕೋರ, ಕೆಟ್ಟ ಮನುಷ್ಯ
ಶತಪಥ ಹಾಕು	ಅತ್ತಿಂದಿತ್ತನಡೆದಾಡು
ಶತಮೊಂಡ	ಬಹಳ ಹಟಮಾರಿ
ಶನಿ ಬಿಡಿಸು	ಚೆನ್ನಾಗಿ ಥಳಿಸು, ಹೊಡೆ, ಬುದ್ದಿ ಕಲಿಸು, ಗ್ರಹಚಾರ ಬಿಡಿಸು
ಶರಣು ಹೊಡೆ	ಮುಕ್ತಾಯ ಹಾಡು, ಸಮಾಪ್ತಿ ಮಾಡು, ಬಿಟ್ಟು ಬಿಡು
ಶಿವನ ಪಾದ ಸೇರು	ಮರಣಿಸು, ಸತ್ತು ಹೋಗು, ಐಕ್ಯನಾಗು
ಶಿವರಾತ್ರಿ	ಉಪವಾಸ
ಶಿವೈಕ್ಯನಾಗು	ಮರಣಿಸು, ಸಾಯು, ಮರಣ ಹೊಂದು
ಶೀತಲ ಸಮರ	ಮನದಲ್ಲಿಯೇ ದ್ವೇಷ ಸಾಧಿಸುವುದು, ಅಂತಃಕಲಹ
ಶುಕ್ರದೆಸೆ	ಏಳಿಗೆಯ ಕಾಲ, ಅದೃಷ್ಟ ಚೆನ್ನಾಗಿರುವ ಕಾಲ, ಅಭ್ಯುದಯ ಕಾಲ
ಶುದ್ಧಮೊದ್ದು	ಮೂರ್ಖ, ಅಜ್ಞಾನಿ
ಶ್ರುತಿ ಹಾಡು	ಅಳಲಾರಂಭಿಸು
ಷಡ್ಯಂತ್ರ	ಕಗ್ಗಂಟು, ಬಿಡಿಸಲಾಗದ ಬಲೆ, ತಪ್ಪಿಸಿಕೊಳ್ಳಲಾಗದಂತೆ ಮಾಡುವುದು, ತಂತ್ರಗಾರಿಕೆ
ಸಂತೆ ಮುಗಿ	ಸಮಯ ಮೀರು, ಕಾಲ ಕಳೆ
ಸಂಧ್ಯಾಕಾಲ	ಜೀವನದ ಮುಪ್ಪಿನ ಕಾಲ, ವಯಸ್ಸಾದ ಕಾಲ
ಸಂಬಂಧ ಬೆಳೆಸು	ನೆಂಟಸ್ತಿಕೆ ಮಾಡು, ಮದುವೆ ಸಂಬಂಧ ಗೊತ್ತು ಮಾಡು
ಸಂಸಾರ ತೂಗಿಸು	ಜೀವನ ನಿರ್ವಾಹ ಮಾಡು
ಸಂಸಾರ ಹೂಡು	ಹೊಸದಾಗಿ ಮನೆ ಮಾಡು, ಸಂಸಾರವನ್ನು ಆರಂಭಿಸು
ಸಕ್ಕರೆ ತುಪ್ಪದಲ್ಲಿ ಕೈ ತೊಳೆ	ಬಹಳ ಸುಖದ ಜೀವನ ನಡೆಸು, ಭೋಗದ ಜೀವನ
ಸಗಣಿ ಸಾರಿಸು	ಸಂಪೂರ್ಣವಾಗಿ ಹಾಳುಮಾಡು, ಸರ್ವನಾಶ ಮಾಡು
ಸಡಿಲು ಬಾಯಿ	ಬಾಯಿಯಲ್ಲಿ ಗುಟ್ಟು ನಿಲ್ಲದವ
ಸಡ್ಡು ಹೊಡೆ	ಪ್ರತಿಭಟಿಸು, ವಿರೋಧಿಸು
ಸತ್ತ ಹಾವು ಬಡಿ	ಹೇಡಿತನ, ಅಸಾಮರ್ಥ್ಯ
ಸತ್ತು ಸುಣ್ಣವಾಗು	ಸಾಕಷ್ಟು ಕಷ್ಟ ಅನುಭವಿಸು, ಬಹಳ ಕಷ್ಟಪಡು
ಸತ್ತು ಹುಟ್ಟು	ಸಂಕಟದಿಂದ ಪಾರಾಗು, ಅತೀವ ಕಷ್ಟದಿಂದ ಹೊರಗೆ ಬರು
ಸಪ್ಪೆಮುಖ	ಪೆಚ್ಚು ಮುಖ, ಗೆಲುವಿಲ್ಲದ ಮುಖ
ಸಮಾಧಿ ಮಾಡು	ನಾಶಮಾಡು, ಕೊಲ್ಲು ಸಂಹರಿಸು
ಸಮುದ್ರಕ್ಕೆ ನೀರು ಹೊರು	ವ್ಯರ್ಥಕಾರ್ಯ ಮಾಡು, ನಿಷ್ಟ್ರಯೋಜಕ ಕಾರ್ಯ ಮಾಡು
ಸರಕು ಬಿಚ್ಚು	ವಿವರವಾಗಿ ವಿಷಯವನ್ನು ಹೇಳುವುದು,
ಸರಸ್ವತೀ ಪುತ್ರ	ವಿದ್ವಾಂಸ, ಪಂಡಿತ, ಪಾಂಡಿತ್ಯವಿರುವವ
ಸರ್ಪಗಾವಲು	ಬಿಗಿಯಾದ ಕಾವಲು
ಸಲಾಮು ಹೊಡೆ	ತ್ಯಜಿಸು, ಬಿಟ್ಟು ಬಿಡು
ಸವಾರಿ ಮಾಡು	ಅಧಿಕಾರ ಚಲಾಯಿಸು, ದಬ್ಬಾಳಿಕೆ ನಡೆಸು
ಸವ್ಯಸಾಚಿ	ಅನೇಕ ವಿಷಯಗಳನ್ನು ಬಲ್ಲವನು,
ಸಹವಾಸ ದೋಷ	ಬೇರೆಯವರ ಒಡನಾಟದಿಂದ ಬರುವ ದೋಷ
ಸಾಕು ಬೇಕಾಗು	ಬಹಳ ಕಷ್ಟಪಡು
ಸಾಣೆ ಹಿಡಿ	ಮೆರಗು ಕೊಡು, ಕಾಂತಿಯನ್ನು ಹೆಚ್ಚಿಸು
ಸಾರಥ್ಯ	ಮಧ್ಯಸ್ಥಿಕೆ ವಹಿಸು
ಸಿಂಹಪಾಲು	ಹೆಚ್ಚಿನ ಭಾಗ, ಬಹಳಷ್ಟು ಅಧಿಕಾಂಶ
ಸಿಂಹಸ್ವಪ್ನ	ಹೆದರಿಕೆ ಬರಿಸುವಂತಹುದು, ಭಯಾನಕ
ಸಿಂಹಾವಲೋಕನ	ಮತ್ತೆ ಮತ್ತೆ ಹಿಂದಿನದನ್ನು ಗಮನಿಸಿ ಮುಂದುವರಿಯುವುದು
ಸಿಗಿದು ತೋರಣ ಕಟ್ಟು	ದಂಡಿಸು, ಶಿಕ್ಷಿಸು, ಸಾಯಿಸು, ಕೊಲ್ಲು
ಸಿಟ್ಟಿನ ಕೈಯ್ಯಲ್ಲಿ ಬುದ್ಧಿಕೊಡು	ಕೋಪದಲ್ಲಿ ಮನಸ್ಸನ್ನು ಹತೋಟಿಯಲ್ಲಿ ಇಟ್ಟುಕೊಳ್ಳದಿರುವುದು, ವಿವೇಚನೆಯನ್ನು ಕಳೆದುಕೊಳ್ಳುವುದು
ಸಿಟ್ಟು ನುಂಗಿಕೊಳ್ಳು	ಕೋಪವನ್ನು ತಡೆದುಕೊಳ್ಳು, ನಿಯಂತ್ರಿಸು, ನಿಗ್ರಹಿಸು
ಸಿಟ್ಟು ನೆತ್ತಿಗೇರು	ಅಧಿಕ ಕೋಪಗೊಳ್ಳು, ರೋಷಾವೇಶಗೊಳ್ಳು
ಸಿಡಿಲು ಬಡಿ	ಅನಿರೀಕ್ಷಿತ ಆಘಾತ, ದಿಕ್ಕು ತೋಚದ ಸ್ಥಿತಿ
ಸಿಡಿಲ ಮರಿ	ಬಹಳ ಚೂಟಿಯಾದ ವ್ಯಕ್ತಿ, ಪಾದರಸದಂತಹ ವ್ಯಕ್ತಿತ್ವ
ಸೀದು ಹೋಗು	ನಾಶವಾಗು, ಹಾಳಾಗು
ಸುಖದ ಸುಪ್ಪತ್ತಿಗೆ	ಸುಖದ ಜೀವನ ನಿರ್ವಹಣೆ
ಸುಟ್ಟ ಬದನೆ	ಕಳೆಕುಂದುವುದು, ಕಾಂತಿಹೀನವಾಗುವುದು
ಸುಟ್ಟ ಮೊಗ	ಸೋತ ಮುಖ, ಕೆಟ್ಟ ಮುಖ
ಸುಟ್ಟು ಸುಣ್ಣವಾಗು	ಬಳಲು, ಕಷ್ಟಪಡು
ಸುಡುಗಾಡಿಗೆ ಹೋಗು	ಹಾಳಾಗು, ನಾಶವಾಗು
ಸುತ್ತಿ ಬಳಸಿ ಮಾತಾಡು	ಹೇಳುವುದನ್ನು ನೇರವಾಗಿ ಹೇಳದಿರುವುದು
ಸುರಿಮಳೆ	ಅವಿರತ, ನಿರಂತರ
ಸುಲಿದ ಬಾಳೆಯ ಹಣ್ಣು	ಕಷ್ಟವಿಲ್ಲದಿರುವುದು, ಬಹಳ ಸುಲಭವಾದುದು
ಸುಳಿವು ಹಿಡಿ	ಪತ್ತೆ ಹಚ್ಚು ಜಾಡು ಹಿಡಿ
ಸೂಜಿಯಲ್ಲಿ ತುಪ್ಪ ಬಡಿಸು	ಜಿಪುಣತನ ತೋರಿಸು
ಸೂತ್ರದ ಗೊಂಬೆ	ಬೇರೆಯವರು ಹೇಳಿದಂತೆ ನಡೆದುಕೊಳ್ಳುವವನು
ಸೂರೆ ಹೋಗು	ಮರುಳಾಗು, ಆಕರ್ಷಿತನಾಗು
ಸೂರ್ಯವಂಶಿ	ಬಹಳ ನಿದ್ದೆ ಮಾಡುವವ, ನಿದ್ದೆಕೋರ
ಸೆಟೆದು ನಿಲ್ಲು	ಪ್ರತಿಭಟಿಸು, ಎದುರಿಸಿ ನಿಲ್ಲು ವಿರೋಧಿಸು
ಸೆಡ್ಡು ಹೊಡೆ	ಪ್ರತಿಭಟಿಸು, ವಿರೋಧಿಸು
ಸೆರಗಿನ ಕೆಂಡ	ಹತ್ತಿರದಲ್ಲೇ ಇರುವ ಅಪಾಯ
ಸೆರಗು ಹಾಸು	ವ್ಯಭಿಚಾರ ಮಾಡು, ಹಾದರ ನಡೆಸು
ಸೆರಗು ಹಿಡಿ	ಹಿಂಬಾಲಿಸು, ಆಶ್ರಯಕ್ಕೆ ಬರು
ಸೆರಗೊಡ್ಡಿ ಬೇಡು	ಅಂಗಲಾಚು, ದೈನ್ಯದಿಂದ ಬೇಡು
ಸೊಂಟ ಕಟ್ಟು	ಕಂಕಣಬದ್ಧನಾಗು, ಸಿದ್ಧನಾಗಿರು
ಸೊನ್ನೆ	ಏನೂ ಇಲ್ಲದಿರುವಿಕೆ
ಸೊನ್ನೆ ಬೀಳು	ನಾಶವಾಗು, ಇಲ್ಲವಾಗು
ಸೊನ್ನೆ ಸುತ್ತುತಿ	ಮೋಸಗೊಳಿಸು, ಇಲ್ಲದಂತೆ ಮಾಡು
ಸೊಪ್ಪುಹಾಕು	ಲಕ್ಷ್ಯ ನೀಡು, ಬೆಲೆಕೊಡು
ಸೊಲ್ಲು ಕರೆ	ಬೊಬ್ಬೆ ಹಾಕು, ಜೋರಾಗಿ ಕೂಗು
ಸೋತು ಸುಣ್ಣವಾಗು	ಬಳಲು, ವಿಪರೀತ ಕಷ್ಟಪಡು
ಸೋಸು	ಪರೀಕ್ಷಿಸು, ಗಮನವಿಟ್ಟು ನೋಡು
ಸ್ಮಶಾನಮೌನ	ನಿಶ್ಯಬ್ದವಾಗಿರುವಿಕೆ, ಸ್ವಲ್ಪವೂ ಗದ್ದಲವಿಲ್ಲದಿರುವಿಕೆ
ಸ್ವಂತಕಾಲ ಮೇಲೆ ನಿಲ್ಲು	ವೃತ್ತಿಗೆ ತೊಡಗು, ಸ್ವಾವಲಂಬಿಯಾಗು
ಸ್ವರ್ಗಕ್ಕೆ ಮೂರೇ ಗೇಣು	ಬಹಳ ಸಂತೋಷವನ್ನು ಹೊಂದು
ಹಕ್ಕಿನೋಟ	ಕಿರು ಪರಿಚಯ
ಹಚ್ಚಿಕೊಳ್ಳು	ಮನಸ್ಸಿಗೆ ಹತ್ತಿರವಾಗಿರಿಸಿಕೊಳ್ಳು
ಹಣೆಬರಹ	ಕಷ್ಟಕರ ಸ್ಥಿತಿ, ದುಃಸ್ಥಿತಿ, ಶೋಚನೀಯ ಸ್ಥಿತಿ
ಹಣೆ ಚಚ್ಚಿಕೊಳ್ಳು	ದುಃಖ ಉದ್ವೇಗದ ಸ್ಥಿತಿಗಳಲ್ಲಿ ಗೋಡೆಗೆ ಅಥವಾ ನೆಲಕ್ಕೆ ಹಣೆಯನ್ನು ಬಡಿದುಕೊಳ್ಳುವುದು, ಆವೇಶದ ಸ್ಥಿತಿ
ಹಣ್ಣಾಗು	ಮುದಿಯಾಗು, ಕಷ್ಟಪಡು, ಅನುಭವ ಹೊಂದು
ಹತ್ತರ ಕೂಡ ಹನ್ನೊಂದು	ಸಾಮಾನ್ಯ ಸ್ಥಿತಿ, ಯಾವುದೇ ಮಹತ್ವವಿಲ್ಲದ್ದು
ಹದಕ್ಕೆ ತರು	ಅಹಂಕಾರವನ್ನು ತಗ್ಗಿಸು, ಹೆಮ್ಮೆಯನ್ನು ಕಡಿಮೆಗೊಳಿಸು
ಹದ ಮಾಡು	ಸರಿಪಡಿಸು, ಅನುಕೂಲಕ್ಕೆ ತಕ್ಕಂತೆ ಬದಲಾಯಿಸು
ಹದಿನಾರಾಣೆ	ಪೂರ್ಣ ಪ್ರಮಾಣದ, ಅಪ್ಪಟ
ಹದ್ದಿನ ಕಣ್ಣು	ಕ್ರೂರ ನೋಟ, ಸೂಕ್ಷ್ಮ ನೋಟ
ಹದ್ದು ಮೀರು	ನಿಯಂತ್ರಣ ಮೀರು, ಅಂಕೆ ಮೀರು
ಹಬ್ಬಮಾಡು	ಶಿಕ್ಷೆ ನೀಡು, ದಂಡನೆ ನೀಡು
ಹರುಕು ಬಾಯಿ	ಬೇಕಾಬಿಟ್ಟಿಯಾಗಿ ಮಾತನಾಡುವವ
ಹರೆಟೆ ಕೊಚ್ಚು	ವ್ಯರ್ಥವಾಗಿ ಮಾತನಾಡು, ಕೆಲಸಕ್ಕೆ ಬಾರದ ಮಾತುಗಳನ್ನು ಆಡುವುದು
ಹರಟೆ ಮಲ್ಲ	ವಾಚಾಳಿ, ಹೆಚ್ಚು ಮಾತನಾಡುವವ
ಹರಾಜು ಹಾಕು	ಮಾನ ಕಳೆ, ಮರ್ಯಾದೆಗುಂದಿಸು
ಹರಿಬೀಳು	ಕೋಪಗೊಳ್ಳು, ಸಿಟ್ಟಿಗೇಳು, ಮೇಲೆ ಬೀಳು
ಹರಿ ಹಂಚು	ಚೂರು ಚೂರು, ದಿಕ್ಕು ಪಾಲಾಗು
ಹರಿಹಾಯು	ಕೋಪಗೊಳ್ಳು, ಮೇಲೆ ಬೀಳು, ಸಿಟ್ಟಿಗೇಳು
ಹಲ್ಲು ಉದುರಿಸು	ಚೆನ್ನಾಗಿ ಹೊಡೆ, ಥಳಿಸು, ಶಿಕ್ಷಿಸು, ದಂಡಿಸು
ಹಲ್ಲು ಕಚ್ಚಿಕೊಂಡಿರು	ಸುಮ್ಮನೆ ಸಹಿಸಿಕೊಂಡಿರು
ಹಲ್ಲು ಕಡಿ	ಕೋಪಿಸಿಕೊಳ್ಳು, ಸಿಟ್ಟು ಮಾಡಿಕೊಳ್ಳು
ಹಲ್ಲು ಕಿತ್ತ ಹಾವು	ನಿಸ್ಸತ್ವಗೊಂಡವನು, ಶಕ್ತಿಕಳೆದುಕೊಂಡವನು
ಹಲ್ಲು ಕಿರಿ	ದೈನ್ಯದಿಂದ ಬೇಡು, ಅಂಗಲಾಚು
ಹಲ್ಲುಗಿಂಜು	ದೈನ್ಯತೆ ತೋರುವುದು, ಅಂಗಲಾಚು
ಹಲ್ಲುಮನೆ	ದ್ವೇಷ ಸಾಧಿಸು, ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳಲು ಹೊಂಚುಹಾಕು
ಹಲ್ಲು ಮುರಿ	ಗರ್ವ ಅಡಗಿಸು, ಸೊಕ್ಕು ಇಳಿಸು
ಹಲ್ಲು ಹಿಡಿದು ಮಾತನಾಡು	ಮಾತಿನಲ್ಲಿ ಹತೋಟಿಯಿರುವುದು, ನಾಲಗೆಯನ್ನು ಅಂಕೆಯಲ್ಲಿ ಇಟ್ಟುಕೊಳ್ಳುವುದು
ಹಸಿರು ಬಾವುಟ ತೋರಿಸು	ಆರಂಭಿಸು, ಆತಂಕಗಳನ್ನು ನಿವಾರಿಸು, ಶುಭ ಸೂಚಿಸು
ಹಸಿ ಸುಳ್ಳು	ಅಪ್ಪಟ ಸುಳ್ಳು, ಶುದ್ಧ ಸುಳ್ಳು
ಹಸ್ತಕ್ಷೇಪ	ಮತ್ತೊಬ್ಬರ ಕೆಲಸದಲ್ಲಿ ಮೂಗು ತೂರಿಸುವುದು, ಮಧ್ಯಪ್ರವೇಶಿಸುವುದು
ಹಳೇ ಹುಲಿ	ಬಹಳ ಕಾಲ ಕೆಲಸ ಒಂದೇ ರೀತಿಯ ಮಾಡಿದವನು, ಅನುಭವಶಾಲಿ
ಹಳ್ಳಕ್ಕೆ ಬೀಳು	ವಂಚನೆಗೊಳಗಾಗು, ಮೋಸ ಹೋಗು, ಬೇಸ್ತುಬೀಳು
ಹಾಡಿದ್ದನ್ನೇ ಹಾಡು	ಹೇಳಿದ್ದನ್ನೇ ಹೇಳು
ಹಾದಿ ಕಾಯು	ಎದುರು ನೋಡು, ಬರವನ್ನು ನಿರೀಕ್ಷಿಸು
